Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield
KAUSHALYA,Kaushalya Infrastructure Development Corporation Ltd.,,6.5,6.5,6.63,13.82,13.82,0.0,0.06,5.06,4.94,4.77,6.5,,"7,803.69","7,609.70","7,351.84","10,025.10",47.07,35.66,21.91,0.81,0.21,,0.45,0.44,0.48,0,0.0,0,0.0,,40.71,181.18,2.32,10.63,0,0.05,10.78,9.43
KAVVERITEL,Kavveri Telecom Products Ltd.,,-0.13,-0.13,1.81,39.33,39.33,0.0,0.86,-2.13,-4.07,-10.75,-0.13,,-247.96,-473,"-1,249.58",-14.56,-0.31,-8.05,-0.08,0.97,0.6,,0.55,0.24,0.03,0,0.0,0,0.0,,88.29,51.01,-20.57,6.98,0,0.15,6.98,-0.02
KAYA,Kaya Ltd.,,-3.03,-3.03,8.66,124.71,124.71,0.0,160.61,4.41,-7.28,-7.28,-3.03,,2.74,-4.53,-4.53,-1.88,-2.42,-5.79,-1.52,0.0,80.64,,0.82,0.47,6.17,0,0.0,0,0.0,,930.19,4.43,161.32,4.46,0,5.74,4.46,0.0
KCP,KCP Ltd.,,3.06,3.06,7.09,38.03,38.03,1.0,88.57,10.93,6.9,4.25,3.06,,12.34,7.79,4.79,3.46,8.05,9.34,2.9,1.14,83.88,,0.79,0.36,6.45,32.62,14.09,67.38,85.91,,"1,658.69",1.45,11.77,0.99,67.37,2.31,0.99,0.03
KDDL,KDDL Ltd.,,13.86,13.84,20.05,142.6,142.6,2.5,149.48,31,24.38,19.02,13.43,,20.74,16.31,12.72,8.98,9.42,13.72,5.99,0.25,66.67,,1.42,0.86,5.71,17.8,11.92,82.2,88.08,,537.34,3.07,14.79,2.88,82.19,3.02,2.88,0.03
KECL,Kirloskar Electric Co Ltd.,,-2.8,-2.8,-1.64,20.46,20.46,0.0,44.33,4.14,2.98,-2.8,-2.8,,9.34,6.72,-6.32,-6.32,-13.7,7.45,-2.95,1.43,46.65,,0.56,0.43,6.29,0,0.0,0,0.0,,298.15,1.01,10.83,0.41,0,0.88,0.41,-0.16
KEEPLEARN,DSJ Keep Learning Ltd.,,-0.03,-0.03,-0.03,0.31,0.31,0.0,0.01,-0.02,-0.02,-0.03,-0.03,,-117.5,-117.5,-192.03,-192.03,-8.73,-2.85,-4.51,0.83,2.35,,1.75,1.75,0,0,0.0,0,0.0,,4.64,44.6,-37.95,25.37,0,1.15,25.53,-0.08
KEI,KEI Industries Ltd.,,23.12,22.88,27.34,98.69,98.69,1.2,535.57,56.94,52.64,35.39,23.04,,10.63,9.82,6.6,4.3,23.34,43.68,6.57,0.65,152.91,,1.23,0.85,6.13,4.3,3.63,95.7,96.37,,"3,669.58",0.87,8.17,0.79,95.69,4.31,0.79,0.05
KELLTONTEC,Kellton Tech Solutions Ltd.,,0.9,0.9,1.11,11.64,11.64,0.0,11.53,1.85,1.61,1.2,0.88,,16.01,13.95,10.36,7.59,7.53,10.43,4.07,0.19,53.56,,1.31,1.27,41.74,0,0.0,0,0.0,,398.98,3.59,22.41,3.46,0,3.43,3.46,0.02
KERNEX,Kernex Microsystems (India) Ltd.,,-16.54,-16.54,-14.86,49.26,49.26,0.0,5.98,-8.73,-10.41,-16.74,-16.54,,-146.02,-174.16,-279.89,-276.6,-33.57,-21.0,-24.85,0.22,8.98,,1.47,1.35,3,0,0.0,0,0.0,,34.73,4.65,-3.18,3.85,0,0.47,3.85,-0.72
KHADIM,Khadim India Ltd.,,11.78,11.78,22.04,160.08,160.08,1.0,444.73,35.21,24.96,18.48,11.78,,7.91,5.61,4.15,2.64,7.35,15.27,3.85,0.38,145.35,,1.45,0.85,5.16,8.48,4.53,91.52,95.47,,955.75,1.2,15.1,1.07,91.51,2.97,1.07,0.02
KHAITANLTD,Khaitan (India) Ltd.,,1.25,1.25,5.06,73.89,73.89,0.0,211.06,10.69,6.88,1.25,1.25,,5.06,3.26,0.59,0.59,1.68,6.05,0.56,0.61,96.23,,0.74,0.55,10.78,0,0.0,0,0.0,,36.73,0.37,7.23,0.16,0,0.45,0.16,0.04
KHANDSE,Khandwala Securities Ltd.,,0.16,0.16,0.39,21.65,21.65,0.0,2.81,0.56,0.32,0.13,0.16,,19.81,11.54,4.62,5.69,0.73,1.19,0.4,0.19,7.07,,1.38,1.38,0,0,0.0,0,0.0,,14.98,4.46,22.52,5.94,0,0.77,5.94,0.01
KICL,Kalyani Investment Company Ltd.,,75.62,75.62,75.85,"8,359.19","8,359.19",0.0,83.67,75.94,75.72,75.72,75.63,,90.76,90.49,90.49,90.39,0.9,0.9,0.9,0.0,0.99,,"3,305.05","3,305.05",0,0,0.0,0,0.0,,688.37,18.85,20.77,18.85,0,0.19,18.85,0.05
KILITCH,Kilitch Drugs (India) Ltd.,,10.06,10.06,10.4,98.39,98.39,0.5,62.79,13.75,12.96,12.72,9.62,,21.89,20.64,20.25,15.31,9.77,13.13,8.58,0.06,56.04,,3.13,2.9,20.45,6.26,5.79,93.74,94.21,,308.86,3.2,14.63,3.15,93.73,2.01,3.15,0.05
KINGFA,Kingfa Science & Technology Ltd.,,15.73,15.73,22.35,267.94,267.94,0.0,579.27,32.45,25.84,24.13,15.73,,5.6,4.46,4.16,2.71,5.87,9.06,3.45,0.05,127.22,,1.81,1.31,6.84,0,0.0,0,0.0,,769.69,1.1,19.58,1.15,0,2.48,1.15,0.02
KIOCL,KIOCL Ltd.,,1.78,1.78,2.11,32.06,32.06,1.33,30.35,3.28,2.97,2.96,1.8,,10.81,9.79,9.75,5.92,5.6,8.84,4.81,0.0,81.26,,9.06,7.73,6.11,44.81,38.22,55.19,61.78,,"7,282.71",3.86,35.67,4.67,55.18,4.42,4.67,0.01
KIRIINDUS,Kiri Industries Ltd.,,38.23,23.12,47.39,201.23,201.23,2.0,338.78,50.8,41.71,40.31,38.3,,14.99,12.31,11.89,11.3,19.03,16.4,11.27,0.23,99.77,,1.39,0.99,9.81,0,0.0,0,0.0,,"1,694.36",1.6,10.64,1.46,0,2.47,1.46,0.08
KIRLOSENG,Kirloskar Oil Engines Ltd.,,15.56,15.56,20.6,122.76,122.76,5.0,221.49,28.49,23.45,23.2,15.56,,12.86,10.58,10.47,7.02,12.67,18.43,9.23,0.01,131.39,,2.68,2.27,13.23,32.14,24.27,67.86,75.73,,"2,350.23",0.73,5.7,0.79,67.85,1.42,0.79,0.09
KIRLOSIND,Kirloskar Industries Ltd.,,50.99,50.91,53.63,"1,239.16","1,239.16",21.0,47.4,62.54,59.91,58.5,50.99,,131.93,126.37,123.39,107.56,4.11,4.75,4.03,0.01,3.75,,210.71,210.71,0,41.18,39.15,58.82,60.85,,739.2,16.06,12.17,16.31,58.81,0.62,16.31,0.07
KITEX,Kitex Garments Ltd.,,12.22,12.22,16.35,88.94,88.94,1.5,91.25,24.26,20.16,19.58,12.25,,26.58,22.09,21.45,13.42,13.77,21.64,10.36,0.15,77.23,,2.97,2.2,4.71,6.12,4.58,93.88,95.42,,666.35,1.1,4.13,1.12,93.87,1.15,1.12,0.12
KKCL,Kewal Kiran Clothing Ltd.,,65.17,65.17,71.71,349.28,349.28,34.0,407.62,108.98,102.44,96.85,65.17,,26.73,25.13,23.75,15.98,18.65,28.86,12.43,0.22,77.8,,1.98,1.58,6.05,51.4,46.71,48.6,53.29,,"1,617.77",3.22,12.04,3.14,48.59,3.66,3.14,0.05
KMSUGAR,KM Sugar Mills Ltd.,,2.65,2.65,3.99,18.38,18.38,0.0,42.4,5.67,4.32,3.49,2.65,,13.37,10.19,8.23,6.24,14.39,18.36,4.93,0.59,79.03,,1.14,0.18,1.47,0,0.0,0,0.0,,173.86,0.45,3.33,0.21,0,0.49,0.21,0.29
KOHINOOR,Kohinoor Foods Ltd.,,-106.86,-106.86,-100.51,-117.41,-74.56,0.0,109.23,-68.91,-72.4,-78.6,-104.01,,-63.08,-66.28,-71.95,-95.21,0,103.31,-77.4,-1.61,81.29,,0.33,0.32,39.53,0,0.0,0,0.0,,814.08,2.01,-3.19,0.28,0,-0.26,0.28,-3.34
KOKUYOCMLN,Kokuyo Camlin Ltd.,,1.52,1.52,3.3,24.81,24.81,0.0,68.67,5.2,3.41,2.27,1.52,,7.56,4.97,3.3,2.2,6.1,12.0,2.74,0.67,124.16,,1.32,0.58,3.46,0,0.0,0,0.0,,"1,125.92",1.63,21.61,1.41,0,3.89,1.41,0.02
KOTARISUG,Kothari Sugars and Chemicals Ltd.,,1.53,1.53,3.08,18.35,18.35,0.5,39.99,5.71,4.16,2.75,1.53,,14.27,10.41,6.88,3.83,8.35,15.78,3.22,0.72,84.09,,1.26,0.47,2.39,0,0.0,0,0.0,,118.28,0.36,2.5,0.05,0,0.11,0.05,0.77
KOTHARIPET,Kothari Petrochem Ltd.,,2.07,2.07,2.82,14.44,14.44,0.5,50.66,3.98,3.21,2.7,2.06,,7.85,6.34,5.32,4.06,14.25,19.24,8.12,0.26,200.02,,0.91,0.71,29.58,36.21,26.39,63.79,73.61,,24.6,0.08,1.04,0.03,63.78,0.12,0.03,1.21
KPITTECH,KPIT Technologies Ltd.,,11.23,11.2,3.36,34.39,34.39,0.75,8.58,4.23,3.64,3.03,2.77,,49.26,42.41,35.35,32.32,8.06,9.96,6.0,0.11,18.59,,2.13,2.13,250.87,0,0.0,0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0
KRBL,KRBL Ltd.,,21.38,21.38,24.11,115.44,115.44,2.5,175,36.75,34.02,31.15,21.38,,21,19.43,17.79,12.21,18.51,27.58,10.87,0.52,89.04,,2.07,0.26,1.32,10.75,9.53,89.25,90.47,,"9,365.52",2.27,10.82,1.93,89.24,2.93,1.93,0.06
KRIDHANINF,Kridhan Infra Ltd.,,-16.1,-15.73,-16.02,14.83,14.83,0.0,6.29,1.09,1.01,-16.13,-16.1,,17.4,16.09,-256.37,-255.92,-108.59,6.54,-73.65,0.13,28.77,,1.4,1.34,17.49,-1.24,-1.24,101.24,101.24,,396.61,6.65,38.22,6.38,101.24,2.71,6.38,-0.4
KRISHANA,Krishana Phoschem Ltd.,,5.43,5.43,9.94,44.05,44.05,0.5,61.33,13.57,9.05,7.67,5.43,,22.12,14.75,12.5,8.84,12.31,17.63,7.93,0.25,89.64,,1.49,0.71,4.63,0,0.0,0,0.0,,155.47,1.02,4.6,0.84,0,1.17,0.84,0.11
KSCL,Kaveri Seed Company Ltd.,,33.3,33.3,37.37,160.46,160.46,3.0,121.81,39.35,36,35.98,34.01,,32.3,29.55,29.53,27.92,21.19,21.74,13.96,0.0,50.01,,2.37,1.14,1.27,10.63,9.67,89.37,90.33,,"2,893.67",3.76,11.65,3.77,89.36,2.86,3.77,0.07
KSL,Kalyani Steels Ltd.,,30.25,30.25,38.98,203.66,203.66,5.0,321.67,51.59,42.81,44.02,30.2,,16.03,13.3,13.68,9.38,14.82,19.87,9.58,0.0,102.12,,1.78,1.43,9.11,16.52,12.8,83.48,87.2,,902.82,0.64,4,0.67,83.47,1.06,0.67,0.14
KTKBANK,Karnataka Bank Ltd.,,16.89,16.89,18.8,190.12,204.7,3.5,208.97,16.89,,"7,137,114.44","576,724.83","148,979,243.26",,"70,645,480.86","5,708,610.05","1,474,645,021.53",,1.86,28.06,8.08,-8.88,0.6,8.88,2.41,35.17,7.47,1.26,-0.66,1.84,5.06,,"72,137.50",12.21,0.7,0.64,82.23,0.13,
LAOPALA,La Opala RG Ltd.,,6.67,6.67,8.15,47.67,47.67,1.2,25.05,11.68,10.2,10.15,6.67,,46.63,40.71,40.49,26.62,13.99,20.08,12.31,0.0,46.25,,9.04,7.74,5.75,16.49,13.49,83.51,86.51,,"2,398.60",8.63,18.5,8.64,83.5,4.54,8.64,0.03
LASA,Lasa Supergenerics Ltd.,,-5.27,-5.27,3.18,46.05,46.05,0.0,74.16,6.66,-1.79,-7.04,-5.26,,8.97,-2.4,-9.49,-7.09,-11.42,-2.69,-4.65,0.65,65.6,,0.8,0.51,5.37,0,0.0,0,0.0,,118.74,0.7,7.8,0.31,0,0.5,0.31,-0.23
LAURUSLABS,Laurus Labs Ltd.,,8.94,8.92,24.01,149.47,149.47,1.5,210.09,34.45,19.37,11.39,8.92,,16.39,9.22,5.42,4.24,5.97,10.63,2.86,0.58,67.38,,1.04,0.56,3.36,16.74,6.22,83.26,93.78,,"5,170.59",2.31,14.1,1.9,83.25,2.67,1.9,0.02
LAXMIMACH,Lakshmi Machine Works Ltd.,,174.15,174.15,223.83,"1,582.29","1,582.29",35.0,"2,467.38",350.56,303.91,268.19,177.18,,14.2,12.31,10.86,7.18,11.19,18.64,7.8,0.0,108.62,,1.78,1.33,8.56,23.15,18.32,76.85,81.68,,"5,985.77",2.27,15.98,2.47,76.84,3.85,2.47,0.03
LCCINFOTEC,LCC Infotech Ltd.,,0,0,0.01,4.66,4.66,0.0,0.87,0.01,0,0,0,,1.24,0.42,-0.14,-0.14,-0.02,0.07,-0.02,0.02,17.77,,8.38,8.33,102.48,0,0.0,0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0
LGBFORGE,LGB Forge Ltd.,,0.09,0.09,0.22,1.34,1.34,0.0,5.53,0.43,0.29,0.09,0.09,,7.71,5.27,1.56,1.56,6.45,18.9,2.51,0.27,160.98,,1.22,0.66,5.23,0,0.0,0,0.0,,84.34,0.64,8.31,0.58,0,2.39,0.58,0.03
LIBAS,Libas Consumer Products Ltd.,,3.15,3.15,3.63,23.43,23.43,0.0,46.01,6.54,6.06,4.39,3.15,,14.21,13.17,9.53,6.84,13.44,24.26,7.14,0.61,104.37,,2.01,0.94,2.26,0,0.0,0,0.0,,78.07,1.51,10.61,1.23,0,2.42,1.23,0.06
LIBERTSHOE,Liberty Shoes Ltd.,,4.02,4.02,11.92,102.78,102.78,0.0,353.49,24.58,16.68,7.9,4.02,,6.95,4.71,2.23,1.13,3.9,14.16,1.63,0.61,143.56,,1.45,0.65,3.45,0,0.0,0,0.0,,356.98,0.59,8.52,0.43,0,1.47,0.43,0.03
LICHSGFIN,LIC Housing Finance Ltd.,,48.17,48.17,48.38,322,322,7.6,343.75,322.46,322.23,66.93,48.14,,93.8,93.73,19.46,14,14.95,10.11,1.21,10.5,8.65,,5.02,5.02,0,14.11,14.04,85.89,85.96,,"194,590.06",11.21,11.95,1.55,85.88,1.66,1.55,0.09
LINC,Linc Ltd.,,3.46,3.46,10.56,81.48,81.48,1.5,248.16,18.82,11.74,7.49,3.48,,7.58,4.73,3.01,1.4,4.27,11.67,2.21,0.48,157.89,,1.68,0.84,5.21,38.46,12.68,61.54,87.32,,343.89,0.94,12.36,0.78,61.53,2.38,0.78,0.02
LINCOLN,Lincoln Pharmaceuticals Ltd.,,23.32,23.32,25.78,131.3,131.3,1.5,176.52,33.45,30.99,29.07,23.32,,18.95,17.55,16.46,13.21,17.75,22.86,13.44,0.12,101.8,,2.57,2.18,11.98,6.43,5.81,93.57,94.19,,449.46,1.27,6.72,1.2,93.56,1.62,1.2,0.11
LOKESHMACH,Lokesh Machines Ltd.,,3.78,3.78,8.88,80.54,80.54,0.0,106.41,18,12.9,5.69,3.78,,16.91,12.12,5.34,3.55,4.69,14.14,2.34,0.49,66.1,,1.15,0.38,1.99,0,0.0,0,0.0,,145.61,0.76,4.52,0.41,0,0.55,0.41,0.09
LOTUSEYE,Lotus Eye Care Hospital Ltd.,,0.33,0.33,1.81,24.1,24.1,0.5,18.48,1.8,0.33,0.3,0.34,,9.76,1.8,1.63,1.84,1.41,1.36,1.24,0.0,67.82,,1.1,0.74,17.83,146.84,27.6,-46.84,72.4,,43.56,1.13,11.61,1.2,-46.84,0.92,1.2,0.02
LOVABLE,Lovable Lingerie Ltd.,,7.87,7.87,1.69,111.8,111.8,0.5,118.58,6.18,5.04,2.18,0.55,,5.2,4.24,1.83,0.46,0.49,4.24,0.4,0.0,86.73,,4.1,2.06,3.23,0,0.0,0,0.0,,150.54,0.86,16.46,0.87,0,0.92,0.87,0.01
LTTS,L&T Technology Services Ltd.,,67.72,66.67,74.35,234.22,234.22,21.0,453.08,97.65,90.63,90.52,67.32,,21.55,20,19.97,14.85,28.74,38.59,21.7,0.02,146.09,,2.9,2.9,0,28.91,26.17,71.09,73.83,,"16,190.44",3.44,15.94,3.47,71.08,6.71,3.47,0.04
LUMAXIND,Lumax Industries Ltd.,,114.89,114.89,179.39,398.22,398.22,35.0,"1,980.65",191.16,126.67,148.79,114.89,,9.65,6.39,7.51,5.8,28.85,29.39,9.63,0.37,166.18,,0.65,0.37,9.07,20.01,12.82,79.99,87.18,,"1,835.72",0.99,10.27,0.92,79.98,4.57,0.92,0.06
LUXIND,Lux Industries Ltd.,,40.12,40.12,42.47,156.2,156.2,3.5,456.12,71.51,67.27,58.36,38.23,,15.67,14.74,12.79,8.38,24.47,41.47,12.61,0.43,150.44,,1.77,1.1,4.82,4.98,4.48,95.02,95.52,,"3,822.40",3.16,20.17,3.02,95.01,8.81,3.02,0.03
LYPSAGEMS,Lypsa Gems and Jewellery Ltd.,,0.01,0.01,0.18,10.57,10.57,0.0,20,0.25,0.13,0.07,0.06,,1.23,0.64,0.34,0.28,0.54,1.2,0.11,0.76,38.88,,1.22,1.21,58.72,0,0.0,0,0.0,,45.22,0.77,61.98,0.37,0,0.7,0.37,0.01
MAANALU,Maan Aluminium Ltd.,,13.56,13.56,16.73,64.22,64.22,1.0,964.4,33.97,30.81,21.29,13.56,,3.52,3.19,2.2,1.4,21.12,41.76,7.29,1.21,518.81,,1.29,1.15,61.4,8.88,7.2,91.12,92.8,,114.12,0.18,4.97,0.1,91.11,1.46,0.1,0.14
MADHAV,Madhav Marbles and Granites Ltd.,,5.15,5.15,10.47,143.69,143.69,0.25,86.22,13.49,8.17,6.72,5.15,,15.65,9.48,7.79,5.97,3.58,5.25,2.84,0.14,47.55,,3.02,1.84,2.84,4.85,2.38,95.15,97.62,,53.69,0.7,4.45,0.49,95.14,0.29,0.49,0.12
MADHUCON,Madhucon Projects Ltd.,,2.52,2.52,3.56,110.04,110.04,0.0,90.43,3.27,2.23,-0.81,2.51,,3.61,2.46,-0.89,2.77,2.28,1.51,0.62,0.84,22.56,,0.42,0.39,15.64,0,0.0,0,0.0,,731.03,1.09,30.18,0.09,0,0.07,0.09,0.31
MADRASFERT,Madras Fertilizers Ltd.,,-5.02,-5.02,-3.57,-35.48,-35.48,0.0,98.25,2.6,1.18,-4.99,-4.99,,2.64,1.2,-5.07,-5.07,0,-4.21,-5.15,-2.87,101.57,,0.58,0.44,5.67,0,0.0,0,0.0,,"1,946.35",1.22,46.15,0.21,0,-0.58,0.21,-0.24
MAGADSUGAR,Magadh Sugar & Energy Ltd.,,33.99,33.99,51.86,453.49,453.49,2.0,734.35,106.56,88.7,53.52,33.99,,14.51,12.07,7.28,4.62,7.49,15.89,2.46,1.09,53.17,,0.88,0.09,1.13,2.94,1.92,97.06,98.08,,612.45,0.83,5.71,0.16,97.05,0.25,0.16,0.29
MAGNUM,Magnum Ventures Ltd.,,-0.02,-0.02,4.01,-12.16,-12.16,0.0,73.9,4.88,0.85,0.77,-0.02,,6.6,1.15,1.03,-0.02,0,1.17,-0.02,-6.26,87.8,,2.38,1.67,8.7,0,0.0,0,0.0,,321.76,1.16,17.53,0.07,0,-0.42,0.07,0.0
MAHABANK,Bank of Maharashtra,,-14.26,-14.26,-16.5,15.86,20.85,0.0,39.41,-17.38,,"8,402,077.44","-3,704,697.90","172,939,129.17",,"59,222,721.62","-26,112,862.45","1,218,975,423.03",,1.4,49.64,-44.09,-58.35,-2.9,-109.56,2.26,81.18,6.59,0.94,-3.84,1.87,4.32,,"146,648.36",13.52,0.86,0.35,100.0,-1.27,
MAHASTEEL,Mahamaya Steel Industries Ltd.,,4.5,4.5,9.16,51.18,51.18,0.0,342.78,18.23,13.57,5.31,4.5,,5.31,3.95,1.55,1.31,8.78,13.28,2.61,1.01,199.19,,1.28,0.4,5.55,0,0.0,0,0.0,,321.43,0.69,12.99,0.49,0,3.26,0.49,0.03
MAHESHWARI,Maheshwari Logistics Ltd.,,10,10,15.41,78.91,78.91,1.2,700.79,33.39,27.98,15.6,10,,4.76,3.99,2.22,1.42,12.67,21.31,3.95,1.04,276.99,,1.19,0.93,21.63,5,3.24,95,96.76,,425.17,0.41,8.6,0.31,94.99,2.72,0.31,0.05
MAHSCOOTER,Maharashtra Scooters Ltd.,,63.7,63.7,65.06,"9,907.79","9,907.79",33.0,12.68,66.46,65.1,65.1,63.7,,523.97,513.26,513.26,502.23,0.64,0.63,0.62,0.0,0.12,,6.82,6.67,9.6,51.8,50.72,48.2,49.28,,"4,017.90",277.19,52.9,277.58,48.19,0.36,277.59,0.02
MAITHANALL,Maithan Alloys Ltd.,,87.68,87.68,93.05,384.68,384.68,6.0,682.87,119.67,114.3,112.27,87.68,,17.52,16.73,16.44,12.84,22.79,28.81,16.73,0.0,130.3,,3.34,2.63,7.62,4.12,3.88,95.88,96.12,,"1,431.33",0.72,4.11,0.74,95.87,1.31,0.74,0.17
MALUPAPER,Malu Paper Mills Ltd.,,4.35,4.35,7.15,18.18,18.18,0.0,160.88,14.4,11.6,5.91,4.35,,8.95,7.21,3.67,2.7,23.92,44.51,5.28,2.77,195.34,,0.56,0.28,10.3,0,0.0,0,0.0,,129.48,0.47,5.27,0.16,0,1.43,0.16,0.17
MANAKALUCO,Manaksia Aluminium Company Ltd.,,1.12,1.12,1.88,16.22,16.22,0.0,42.06,2.75,2,0.61,1.12,,6.54,4.74,1.46,2.65,6.89,9.58,2.89,0.62,108.78,,1.31,0.69,3.78,0,0.0,0,0.0,,104.93,0.38,5.81,0.17,0,0.45,0.17,0.15
MANAKCOAT,Manaksia Coated Metals & Industries Ltd.,,0.04,0.04,1.54,13.68,13.68,0.0,38.31,4.02,2.53,0.43,0.04,,10.49,6.59,1.11,0.1,0.3,8.26,0.07,1.28,72.51,,0.99,0.4,2.9,0,0.0,0,0.0,,148.41,0.59,5.63,0.15,0,0.42,0.15,0.01
MANAKSTEEL,Manaksia Steels Ltd.,,1.57,1.57,2.41,28.46,28.46,0.0,105.09,3.77,2.94,2.52,1.57,,3.58,2.79,2.39,1.49,5.53,10.07,3.66,0.0,244.87,,2.24,1.42,9.28,0,0.0,0,0.0,,127.18,0.18,5.15,0.2,0,0.75,0.2,0.07
MANAPPURAM,Manappuram Finance Ltd.,,9.38,9.37,10.19,52.11,52.11,2.15,40.56,27.34,26.52,14.45,9.38,,67.4,65.4,35.62,23.12,17.99,23.98,4.47,2.9,19.37,,2.05,2.05,0,22.92,21.09,77.08,78.91,,"22,793.25",6.67,9.89,3.07,77.07,2.39,3.07,0.08
MANGALAM,Mangalam Drugs & Organics Ltd.,,-5.07,-5.07,-0.6,60.44,60.44,0.0,143.78,6.32,1.84,-3.62,-5.07,,4.39,1.27,-2.52,-3.52,-8.39,2.41,-3.79,0.62,1.04,,1.16,0.35,2.53,0,0.0,0,0.0,,144.97,0.64,14.5,0.38,0,0.91,0.38,-0.09
MANGCHEFER,Mangalore Chemicals and Fertilisers Ltd.,,2.77,2.77,6.04,41.77,41.77,1.0,259.27,16.87,13.59,4.23,2.77,,6.5,5.24,1.63,1.06,6.64,20.02,1.12,3.36,105.32,,1.06,0.81,5.71,36.04,16.53,63.96,83.47,,"2,101.08",0.68,10.51,0.16,63.95,0.98,0.16,0.07
MANGLMCEM,Mangalam Cement Ltd.,,-3.65,-3.65,13.63,188.61,188.61,0.5,449.39,30.34,13.06,-5.97,-3.65,,6.75,2.9,-1.32,-0.81,-1.93,3.91,-0.68,0.81,84.83,,0.88,0.66,10.29,-16.52,4.42,116.52,95.58,,"1,107.21",0.92,13.67,0.6,116.52,1.42,0.6,-0.01
MANINDS,Man Industries (India) Ltd.,,10.05,10.05,18.09,122.91,122.91,1.5,387.96,34.71,26.67,15.23,10.05,,8.94,6.87,3.92,2.59,8.17,19.12,3.59,0.3,138.82,,1.16,0.89,10.23,14.92,8.29,85.08,91.71,,538.55,0.24,2.72,0.17,85.07,0.54,0.17,0.15
MANUGRAPH,Manugraph Industries Ltd.,,-5.03,-5.03,-4.25,74.46,74.46,0.5,98.21,-1.45,-3.19,-6.2,-5.99,,-1.47,-3.24,-6.31,-6.09,-8.04,-3.92,-6.01,0.0,98.58,,2.71,1.01,3.13,-10.01,-14.12,110.01,114.12,,44.91,0.18,-12.14,0.28,110.01,0.37,0.28,-0.22
MARALOVER,Maral Overseas Ltd.,,1.96,1.96,6.85,24.23,24.23,0.0,182.41,12.2,7.31,3.22,1.96,,6.68,4,1.76,1.07,8.08,19.63,1.79,2.24,166.76,,0.85,0.48,6.92,0,0.0,0,0.0,,323.37,0.43,6.38,0.14,0,1.04,0.14,0.08
MARICO,Marico Ltd.,,8.76,8.76,9.56,27.05,27.05,4.75,46.29,10.16,9.36,9.17,8.75,,21.95,20.21,19.81,18.9,32.35,33.48,23.72,0.04,125.49,,2.35,1.28,4.84,53.94,49.39,46.06,50.61,,"44,329.25",7.42,33.81,7.46,46.05,12.77,7.46,0.03
MARUTI,Maruti Suzuki India Ltd.,,248.3,248.3,348.33,"1,527.86","1,527.86",80.0,"2,848.35",449.02,349.05,346.54,248.36,,15.76,12.25,12.16,8.71,16.25,21.6,11.91,0.0,136.68,,0.87,0.64,25.87,32.21,22.97,67.79,77.03,,"201,456.04",2.34,14.86,2.34,67.78,4.37,2.34,0.04
MASKINVEST,Mask Investments Ltd.,,0.03,0.03,0.03,21.14,21.14,0.0,0.43,0.04,0.04,0.04,0.03,,9.04,9.04,8.97,7.21,0.14,0.18,0.12,0.12,1.79,,1.57,1.57,0,0,0.0,0,0.0,,6.86,52.62,581.89,46.92,0,0.95,46.96,0.0
MASTEK,Mastek Ltd.,,12.81,12.12,17.76,108.4,108.4,8.5,79,21.48,16.44,16.33,12.72,,27.19,20.81,20.67,16.1,11.73,14.49,9.75,0.01,60.55,,4.2,4.2,0,58.6,41.98,41.4,58.02,,"1,052.18",5.55,20.43,5.61,41.39,4.09,5.61,0.03
MATRIMONY,Matrimony.com Ltd.,,15.8,15.73,20.66,90.35,90.35,1.5,149.49,27.58,22.71,22.68,15.8,,18.44,15.19,15.17,10.56,17.48,25.09,11.54,0.0,109.25,,2.08,2.08,0,9.49,7.25,90.51,92.75,,"1,417.65",4.17,22.62,4.36,90.5,7.22,4.36,0.02
MAWANASUG,Mawana Sugars Ltd.,,10.85,10.85,19.38,101.96,101.96,0.0,295.96,32.57,24.03,18.07,10.85,,11,8.12,6.1,3.66,10.64,15.55,3.01,0.44,82.26,,1.05,0.13,1.57,0,0.0,0,0.0,,308.02,0.27,2.42,0.15,0,0.45,0.15,0.24
