Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
KCP,KCP Ltd.,,-1.98,-1.98,3.16,53.03,53.03,0.1,129.7,5.24,0.1,-2.42,-1.98,,4.04,0.08,-1.86,-1.52,-3.73,0.14,-1.78,0.44,1.14,,1.06,0.64,1.63,-50.48,31.65,150.48,68.35,,"1,505.50",0.9,22.27,0.79,150.48,1.94,0.79,-0.02,
KDDL,KDDL Ltd.,,54.49,54.49,64.91,200.59,200.59,4,241.45,87.5,77.43,70.69,54.84,,36.23,32.06,29.27,22.71,27.33,32.56,16.74,0.32,0.8,,1.09,0.74,2.32,9.14,7.72,90.86,92.28,,"1,352.47",4.44,12.24,4.22,90.85,5.07,4.22,0.05,
KECL,Kirloskar Electric Co Ltd.,,3.9,3.9,4.65,17.13,17.13,0,71.3,7.86,7.11,3.9,3.9,,11.02,9.97,5.46,5.46,22.74,23.4,4.17,1.1,0.76,,0.34,0.22,6.55,0,0,0,0,,553.62,1.17,10.6,0.96,0,3.98,0.96,0.06,
KEEPLEARN,DSJ Keep Learning Ltd.,,0.01,0.01,0.03,0.01,0.01,0,0.7,0.1,0.07,0.04,0.01,,13.71,10.31,5.98,1.08,130.88,20.06,1.41,55.62,1.25,,2.07,2.07,0,0,0,0,0,,27.39,4.77,34.75,4.31,0,522.41,4.31,0,
KEI,KEI Industries Ltd.,,52.95,52.87,59.26,287.06,287.06,3,766.42,81.37,75.04,71.19,52.93,,10.61,9.79,9.28,6.9,18.43,25.51,12.66,0.05,1.89,,2.83,1.84,4.73,5.66,5.06,94.34,94.94,,"14,925.88",2.16,20.34,2.22,94.33,5.92,2.22,0.03,
KELLTONTEC,Kellton Tech Solutions Ltd.,,0.96,0.96,1.6,15.62,15.62,0,17.7,2.56,1.94,1.39,0.98,,14.48,10.98,7.83,5.55,6.29,10.6,4.25,0.22,0.8,,2.24,2.24,0,0,0,0,0,,451.02,2.64,18.23,2.48,0,2.81,2.48,0.02,
KERNEX,Kernex Microsystems (India) Ltd.,,-14.67,-14.67,-11.3,59.7,59.7,0,1.3,-9.71,-11.26,-12.54,-12.84,,-749.4,-868.5,-967.29,-991.07,-21.51,-18.44,-17.81,0.09,0.02,,4.21,3.49,0.26,0,0,0,0,,357.22,178.29,-23.79,190,0,4.12,190.01,-0.05,
KHADIM,Khadim India Ltd.,,9.74,9.74,31.1,125.41,125.41,0,367.43,50.08,28.73,12.56,9.74,,13.63,7.81,3.41,2.65,7.76,12.69,2.38,0.53,0.95,,1.35,0.8,0.93,0,0,0,0,,436.68,0.66,4.85,0.5,0,1.47,0.5,0.05,
KHAITANLTD,Khaitan (India) Ltd.,,1.43,1.43,5.58,39.23,39.23,0,125.17,10.73,6.58,1.43,1.43,,8.57,5.25,1.14,1.14,3.64,12.14,0.95,0.55,0.8,,0.4,0.28,0,0,0,0,0,,30.45,0.51,5.97,0.35,0,1.1,0.35,0.03,
KHANDSE,Khandwala Securities Ltd.,,0.29,0.29,0.48,19.75,19.75,0,4.11,0.74,0.55,0.33,0.29,,18.02,13.32,7.94,7.09,1.47,2.52,1,0.09,0.14,,1.86,1.86,0,0,0,0,0,,31.63,5.05,28,5.61,0,1.17,5.61,0.01,
KICL,Kalyani Investment Company Ltd.,,97.54,97.54,97.77,"12,990.82","12,990.82",0,136.32,129.57,129.34,129.34,97.55,,95.04,94.88,94.88,71.55,0.75,0.97,0.73,0,0.01,,"3,546.50","3,546.50",0,0,0,0,0,,639.56,10.75,11.31,12.88,0,0.14,12.88,0.06,
KILITCH,Kilitch Drugs (India) Ltd.,,10.09,10.09,10.94,125.74,125.74,0,75.59,13.97,13.11,12.48,10.09,,18.48,17.34,16.51,13.34,8.02,10.42,6.22,0.11,0.49,,2.03,2,16.54,0,0,0,0,,221.35,1.88,10.17,1.85,0,1.11,1.85,0.07,
KINGFA,Kingfa Science & Technology Ltd.,,67.22,67.22,78.9,384.78,384.78,0,"1,159.08",107.56,95.89,90.49,67.22,,9.27,8.27,7.8,5.79,17.47,24.65,8.05,0.08,1.49,,1.37,0.83,3.84,0,0,0,0,,"1,621.01",1.15,12.44,1.14,0,3.45,1.14,0.05,
KIOCL,KIOCL Ltd.,,-1.61,-1.61,-1.19,32.94,32.94,0,25.4,-1.38,-1.8,-2.02,-1.61,,-5.43,-7.06,-7.95,-6.32,-4.87,-4.89,-3.32,0.21,0.55,,2.65,2.18,4.31,0,0,0,0,,"9,885.05",6.4,-117.87,6.64,0,5.12,6.64,-0.01,
KIRIINDUS,Kiri Industries Ltd.,,-25.8,-25.8,-17.38,94.78,94.78,0,116.03,-16.53,-25.05,-26.22,-25.89,,-14.24,-21.58,-22.59,-22.31,-27.31,-23.97,-13.88,0.09,0.59,,0.46,0.22,4.33,0,0,0,0,,"1,513.26",2.52,-17.66,2.44,0,2.99,2.44,-0.09,
KIRLOSENG,Kirloskar Oil Engines Ltd.,,18.68,18.64,24.53,161.09,161.09,5,284.36,31.38,25.53,25.16,18.67,,11.03,8.97,8.84,6.56,11.58,15.3,8.09,0.03,1.3,,1.42,0.92,5.29,13.38,10.19,86.62,89.81,,"5,742.29",1.4,12.64,1.39,86.61,2.44,1.39,0.05,
KIRLOSIND,Kirloskar Industries Ltd.,,75.47,74.13,77.83,"2,217.26","2,217.26",11,91.34,98.93,96.08,94.55,74.99,,108.31,105.19,103.52,82.1,3.38,4.22,3.28,0.01,0.05,,311.02,311.02,0,13.24,12.75,86.76,87.25,,"2,283.39",25.3,23.36,26.64,86.75,1.1,26.64,0.03,
KITEX,Kitex Garments Ltd.,,8.94,8.94,12.12,136.07,136.07,1.5,83.76,16.11,12.92,12.24,8.94,,19.22,15.42,14.61,10.66,6.56,9.34,5.88,0.03,0.54,,5.02,3.73,1.77,16.78,12.37,83.22,87.63,,851.31,1.53,7.95,1.63,83.21,1,1.63,0.07,
KKCL,Kewal Kiran Clothing Ltd.,,19.36,19.36,20.77,88.83,88.83,5,126.48,27.94,26.52,25.49,19.36,,22.09,20.97,20.15,15.3,21.78,29.17,14.59,0.09,1,,2.56,1.92,1.47,41.33,38.51,58.67,61.49,,"2,454.82",3.15,14.26,3.3,58.66,4.7,3.3,0.05,
KMSUGAR,KM Sugar Mills Ltd.,,2.52,2.52,4.25,29.92,29.92,0,62.56,6.64,4.91,3.41,2.52,,10.6,7.85,5.44,4.03,8.43,13.33,3.3,0.97,0.86,,1.04,0.08,1.08,0,0,0,0,,500.11,0.87,8.19,0.41,0,0.87,0.41,0.1,
KOHINOOR,Kohinoor Foods Ltd.,,-1.1,-1.1,0.7,-182.42,-139.57,0,22.27,3.54,1.73,-1.31,-1.11,,15.9,7.76,-5.86,-4.98,0,-1.24,-1.93,-1.05,0.39,,0.06,0.05,3.12,0,0,0,0,,823.35,9.97,62.74,1.43,0,-0.17,1.43,-0.03,
KOKUYOCMLN,Kokuyo Camlin Ltd.,,2.44,2.44,4.12,26.18,26.18,0.5,77.26,5.63,3.95,3.5,2.44,,7.28,5.1,4.53,3.15,9.31,14.61,5.52,0.21,1.87,,1.6,0.67,2.23,0,0,0,0,,736.91,0.95,13.05,0.89,0,2.63,0.89,0.04,
KOTARISUG,Kothari Sugars and Chemicals Ltd.,,5.06,5.06,6.75,31.07,31.07,1,73.59,8.34,6.65,6.62,5.06,,11.33,9.03,8.99,6.87,16.27,19.06,9.7,0.15,1.48,,1.78,0.83,3.29,9.88,7.4,90.12,92.6,,53.93,0.09,0.78,0.03,90.11,0.06,0.03,2.53,
KOTHARIPET,Kothari Petrochem Ltd.,,6.66,6.66,7.74,32.45,32.45,1.25,81.46,10.7,9.59,9.33,6.62,,13.14,11.77,11.45,8.12,20.39,25.69,14.49,0.12,1.95,,2.85,2.18,10.72,7.51,6.42,92.49,93.58,,17.91,0.04,0.28,0.02,92.48,0.05,0.02,3.89,
KPITTECH,KPIT Technologies Ltd.,,10.37,10.26,13.71,51.18,51.18,4.1,56.09,17.41,14.06,13.52,10.36,,31.04,25.07,24.1,18.47,20.24,25.89,15.38,0,0.86,,1.69,1.69,0,31.82,24.05,68.18,75.95,,"24,912.65",16.43,52.92,16.49,68.17,18.07,16.49,0.01,
KRBL,KRBL Ltd.,,29.77,29.77,32.98,199,199,1,227.83,43.81,40.6,39.97,29.77,,19.22,17.81,17.54,13.06,14.95,19.69,12.55,0.04,1.04,,6.35,0.61,1.25,11.75,10.61,88.25,89.39,,"8,301.69",1.55,8.05,1.52,88.24,1.74,1.52,0.09,
KRIDHANINF,Kridhan Infra Ltd.,,-5.3,-5.3,-5.25,-34.68,-34.68,0,0.36,0.18,0.12,-5.27,-5.3,,48.69,33.04,"-1,449.27","-1,457.10",0,-0.34,-83.04,-0.06,0.05,,0.02,0.02,0,0,0,0,0,,36.46,10.57,21.7,4.78,0,-0.05,4.78,-3.05,
KRISHANA,Krishana Phoschem Ltd.,,8.8,8.65,11.46,84.69,84.69,0.5,104.43,17.61,14.8,12.6,8.65,,16.86,14.17,12.06,8.28,10.21,10.73,4.59,1.06,0.71,,1.36,0.65,1.86,5.54,4.18,94.46,95.82,,"1,779.52",5.51,32.69,4.66,94.45,5.74,4.66,0.02,
KSCL,Kaveri Seed Company Ltd.,,46.35,46.35,51.24,245.6,245.6,4,178.92,53.1,49.61,49.58,47.75,,29.67,27.72,27.7,26.68,19.44,19.68,13.31,0,0.52,,2.5,1.12,0.64,8.73,8.14,91.27,91.86,,"2,653.45",2.65,8.94,2.66,91.26,1.94,2.66,0.1,
KSL,Kalyani Steels Ltd.,,38.26,38.26,49.38,340.62,340.62,10,434.36,69.08,57.89,51.47,38.2,,15.9,13.32,11.84,8.79,11.21,14.89,7.1,0.34,0.82,,2.41,1.91,4.33,26.13,20.21,73.87,79.79,,"1,048.59",0.55,3.47,0.68,73.86,0.87,0.68,0.13,
KTKBANK,Karnataka Bank Ltd.,,37.88,37.66,40.55,246.61,262.95,5,231.16,37.79,,"8,345,158.58","1,364,127.14","170,272,346.63",,"80,135,751.39","13,099,254.16","1,635,068,083.24",,2.27,32.97,16.34,2.59,1.19,15.32,3.21,36.49,7.28,1,0.18,1.98,4.07,,"87,976.05",12.18,0.55,0.59,89.44,0.28,,
LAOPALA,La Opala RG Ltd.,,11.08,11.08,13.04,69.81,69.81,5,40.75,17.47,15.51,14.84,11.08,,42.87,38.06,36.41,27.18,15.86,20.64,13.71,0.02,0.52,,8.51,7.31,1.94,25.27,21.47,74.73,78.53,,"3,777.83",8.35,19.48,8.33,74.72,4.87,8.34,0.03,
LASA,Lasa Supergenerics Ltd.,,-7.71,-7.71,-5.03,23.61,23.61,0,25.86,-0.96,-3.63,-8.44,-7.71,,-3.69,-14.05,-32.62,-29.8,-32.65,-15.03,-23.57,0,0.71,,0.92,0.59,8.67,0,0,0,0,,90.15,0.7,-18.82,0.71,0,0.78,0.71,-0.42,
LAURUSLABS,Laurus Labs Ltd.,,14.14,14.09,19.7,75.31,75.31,2,107.18,27.8,22.22,19.52,14.12,,25.94,20.73,18.21,13.17,18.74,24.67,10.92,0.41,0.85,,1.51,0.76,1.54,14.13,10.12,85.87,89.88,,"17,462.13",3.02,11.66,2.73,85.86,3.89,2.73,0.05,
LAXMIMACH,Lakshmi Machine Works Ltd.,,327.82,327.82,396.56,"2,152.95","2,152.95",98.5,"4,243.41",523.11,454.38,454.38,327.83,,12.32,10.7,10.7,7.72,15.22,18.09,8.61,0,1.18,,1.59,1.12,5.21,12.2,10.08,87.8,89.92,,"9,960.59",2.2,17.82,2.35,87.79,4.63,2.35,0.03,
LCCINFOTEC,LCC Infotech Ltd.,,-0.05,-0.05,-0.05,4.44,4.44,0,0.13,-0.04,-0.05,-0.05,-0.05,,-34.95,-38.07,-40.12,-40.12,-1.14,-1.07,-1.03,0.06,0.03,,4.07,4.05,0,0,0,0,0,,22.45,14.06,-40.22,12.37,0,0.35,12.38,-0.03,
LGBFORGE,LGB Forge Ltd.,,-0.39,-0.39,-0.19,1.27,1.27,0,4.88,-0.1,-0.3,-0.39,-0.39,,-2.02,-6.14,-8,-8,-30.84,-20.95,-10.92,0.86,1.37,,1.29,0.71,2.22,0,0,0,0,,224.14,1.93,-95.39,1.71,0,6.58,1.71,-0.05,
LIBAS,Libas Consumer Products Ltd.,,0.73,0.73,0.74,19.69,19.69,0,16.45,1.25,1.12,0.68,0.61,,7.58,6.82,4.13,3.73,3.11,5.52,2.22,0.19,0.66,,2.85,1.34,0.68,0,0,0,0,,29.17,0.67,8.87,0.61,0,0.51,0.61,0.06,
LIBERTSHOE,Liberty Shoes Ltd.,,7.58,7.58,26.17,116.3,116.3,2.5,383.99,36.34,17.75,10.48,7.58,,9.46,4.62,2.72,1.97,6.51,10.12,2.74,0.44,1.45,,1.76,0.63,1.42,32.99,9.55,67.01,90.45,,415.7,0.64,6.71,0.51,67,1.68,0.51,0.04,
LICHSGFIN,LIC Housing Finance Ltd.,,52.56,52.56,53.72,492.38,492.38,8.5,411.65,359.89,358.7,64.63,52.53,,87.42,87.13,15.69,12.76,10.66,70.94,1.03,9.03,0.09,,1.1,1.1,0,16.17,15.81,83.83,84.19,,"262,123.97",11.57,13.23,0.8,83.82,0.67,0.8,0.16,
LINC,Linc Ltd.,,25.15,25.15,34.64,119.16,119.16,5,327.29,43.6,34.11,33.68,25.15,,13.32,10.42,10.29,7.68,21.1,27.72,15.74,0,2.22,,2.56,1.11,1.85,7.15,5.19,92.85,94.81,,780.14,1.6,12.03,1.63,92.84,4.47,1.63,0.05,
LINCOLN,Lincoln Pharmaceuticals Ltd.,,36.4,36.4,40.97,250.86,250.86,1.5,254.78,55.74,51.17,50.15,36.4,,21.87,20.08,19.68,14.28,14.5,19.89,12.41,0,0.91,,5.09,4.12,2.48,4.12,3.66,95.88,96.34,,646.55,1.27,5.79,1.33,95.87,1.35,1.33,0.11,
LOKESHMACH,Lokesh Machines Ltd.,,5.41,5.41,10.48,88.83,88.83,0,134.27,18.3,13.22,8.11,5.41,,13.62,9.84,6.03,4.02,6.08,12.23,2.96,0.55,0.77,,1.31,0.46,1.39,0,0,0,0,,278.1,1.16,8.49,0.82,0,1.24,0.82,0.05,
LOTUSEYE,Lotus Eye Care Hospital Ltd.,,1.96,1.96,3.39,27.69,27.69,0.5,22.62,4.2,2.77,2.72,1.96,,18.56,12.22,12.01,8.66,7.08,9.91,6.45,0,0.75,,2.83,2.3,3.28,0,0,0,0,,112.37,2.39,12.87,2.57,0,2.1,2.57,0.03,
LOVABLE,Lovable Lingerie Ltd.,,-0.05,-0.05,1.27,116.08,116.08,0.5,64.52,1.64,0.32,-0.02,-0.05,,2.53,0.49,-0.03,-0.07,-0.04,0.24,-0.03,0.02,0.46,,3.61,1.22,0.75,"-1,030.64",39.3,"1,130.64",60.7,,131.36,1.38,54.21,1.35,"1,130.64",0.75,1.35,0,
LTTS,L&T Technology Services Ltd.,,105.18,104.87,124.44,444.37,444.37,45,673.75,170.53,151.35,147.63,105.25,,25.31,22.46,21.91,15.62,23.68,31.34,17.19,0,1.17,,3.49,3.49,0,28.52,24.12,71.48,75.88,,"35,006.88",4.92,19.46,5.01,71.47,7.6,5.01,0.03,
LUMAXIND,Lumax Industries Ltd.,,75.57,75.57,161.01,515,515,27,"2,481.38",237.6,152.15,114.93,75.57,,9.57,6.13,4.63,3.04,14.67,21.56,4.07,0.79,1.46,,0.78,0.43,4.79,17.86,8.38,82.14,91.62,,"2,030.97",0.88,9.14,0.71,82.13,3.44,0.71,0.04,
LUXIND,Lux Industries Ltd.,,48.8,48.8,52.99,467.49,467.49,5,756.54,76.38,70.28,63.32,46.89,,10.09,9.28,8.36,6.19,10.02,14.62,7.04,0.14,1.17,,2.99,1.85,1.43,0,0,0,0,,"3,814.60",1.61,15.96,1.54,0,2.49,1.54,0.04,
LYPSAGEMS,Lypsa Gems and Jewellery Ltd.,,0.01,0.01,0.1,10.79,10.79,0,4.47,0.1,0.01,0.01,0.01,,2.29,0.23,0.23,0.2,0.08,0.09,0.03,0.19,0.16,,1.68,1.66,4.45,0,0,0,0,,16.4,1.24,54.12,0.82,0,0.34,0.82,0,
MAANALU,Maan Aluminium Ltd.,,36.96,36.96,40.26,96.35,96.35,3,601.91,56.54,53.23,49.58,36.96,,9.39,8.84,8.23,6.14,38.35,53.32,22.22,0.42,4.11,,1.9,1.52,6.06,8.11,7.45,91.89,92.55,,287.28,0.35,3.76,0.29,91.88,1.8,0.29,0.21,
MADHAV,Madhav Marbles and Granites Ltd.,,1.05,1.05,6.33,153.34,153.34,0,52.45,6.62,1.34,0.73,1.05,,12.61,2.55,1.38,2,0.68,0.84,0.6,0.06,0.3,,4.67,2.33,0.67,0,0,0,0,,39.16,0.83,6.61,0.76,0,0.26,0.76,0.03,
MADHUCON,Madhucon Projects Ltd.,,0.6,0.6,1.39,72.16,72.16,0,121.68,-1.05,-1.84,-2.11,0.6,,-0.86,-1.5,-1.73,0.49,0.83,-2.19,0.2,1,0.39,,0.16,0.16,262.92,0,0,0,0,,554.28,0.62,-71.37,0.03,0,0.05,0.03,0.17,
MADRASFERT,Madras Fertilizers Ltd.,,11.5,11.5,12.02,-17.71,-17.71,0,212.6,20.75,20.16,15.34,11.43,,9.76,9.48,7.21,5.37,-64.55,-201.93,9.98,-5.2,1.83,,0.63,0.52,9.64,0,0,0,0,,"2,029.98",0.59,6.03,0.27,0,-3.26,0.27,0.2,
MAGADSUGAR,Magadh Sugar & Energy Ltd.,,35.67,35.67,53.55,453.72,453.72,7,676.59,94.13,76.25,54.71,35.67,,13.91,11.26,8.08,5.27,7.86,13.16,3.56,0.91,0.69,,1.04,0.08,1.41,18.22,12.13,81.78,87.87,,"1,030.80",1.08,7.77,0.47,81.77,0.7,0.47,0.11,
MAGNUM,Magnum Ventures Ltd.,,18.78,18.78,20.81,138.7,138.7,0,109.26,11.26,7.29,16.47,16.83,,10.3,6.66,15.07,15.4,12.13,3.37,6.79,0.28,0.68,,0.83,0.4,7.84,0,0,0,0,,284.57,0.62,6,0.27,0,0.21,0.27,0.58,
MAHABANK,Bank of Maharashtra,,3.87,3.87,4.26,21.01,23.19,1.3,23.62,3.87,,"12,251,258.84","2,005,114.74","312,324,385.37",,"72,167,310.94","11,811,336.36","1,839,779,187.02",,2.34,53.38,16.36,2.02,0.97,18.4,2.89,40.81,5.93,0.85,0.12,1.46,3.04,,"243,018.79",15.29,1.18,1.05,66.37,0.16,,
MAHASTEEL,Mahamaya Steel Industries Ltd.,,2.54,2.54,6.37,77.8,77.8,0,395.37,8.99,5.16,3.66,2.54,,2.27,1.3,0.92,0.64,3.26,5.34,1.91,0.26,3.11,,1.78,0.43,8.5,0,0,0,0,,125.17,0.19,8.47,0.13,0,0.64,0.13,0.05,
MAHESHWARI,Maheshwari Logistics Ltd.,,4.62,4.62,8.62,56.34,56.34,0,386.65,17.72,13.72,6.12,4.62,,4.58,3.54,1.58,1.19,8.19,15.24,2.87,1.15,2.53,,1.47,0.95,2.9,0,0,0,0,,410.77,0.36,7.83,0.21,0,1.41,0.21,0.06,
MAHSCOOTER,Maharashtra Scooters Ltd.,,170.88,170.88,172.65,"16,662.42","16,662.42",160,189.31,170.71,168.95,168.95,170.88,,90.17,89.24,89.24,90.26,1.02,0.94,0.95,0,0.01,,"3,362.42","3,361.79",1.37,105.33,104.25,-5.33,-4.25,,"4,810.45",22.23,24.66,22.26,-5.33,0.25,22.26,0.04,
MAITHANALL,Maithan Alloys Ltd.,,146.51,146.51,151.5,938.06,938.06,6,998.82,234.16,229.18,193.42,146.52,,23.44,22.94,19.36,14.66,15.61,24.16,14.08,0,1.01,,10.28,9.27,2.47,4.09,3.96,95.91,96.04,,"1,242.02",0.43,1.82,0.79,95.9,0.85,0.79,0.18,
MALUPAPER,Malu Paper Mills Ltd.,,-6.07,-6.07,-3.18,3.73,3.73,0,137.1,-0.19,-3.14,-8.2,-6.13,,-0.13,-2.28,-5.98,-4.46,-164.33,-26.17,-6.92,19.18,1.53,,0.55,0.23,3.92,0,0,0,0,,168.26,0.72,-515.82,0.21,0,7.56,0.21,-0.22,
MANAKALUCO,Manaksia Aluminium Company Ltd.,,1.35,1.35,2.44,19.09,19.09,0,71.16,5.05,3.97,1.69,1.35,,7.09,5.57,2.38,1.9,7.08,14.03,2.34,1.15,1.24,,1.35,0.63,2.35,0,0,0,0,,258.99,0.56,7.82,0.28,0,1.06,0.28,0.07,
MANAKCOAT,Manaksia Coated Metals & Industries Ltd.,,0.77,0.77,2.11,17.54,17.54,0,99.43,5.81,4.47,1.13,0.77,,5.84,4.49,1.13,0.77,4.36,13.85,0.92,1.59,1.28,,1.1,0.33,2.53,0,0,0,0,,259.77,0.4,6.82,0.15,0,0.85,0.15,0.05,
MANAKSTEEL,Manaksia Steels Ltd.,,1.93,1.93,2.75,43.01,43.01,0,97.89,3.71,2.89,2.51,1.93,,3.78,2.94,2.56,1.97,4.48,6.55,3.54,0.16,1.99,,3.44,2.09,6.45,0,0,0,0,,266.64,0.42,10.98,0.36,0,0.81,0.36,0.06,
MANAPPURAM,Manappuram Finance Ltd.,,14.96,14.96,16.88,106.1,106.1,3,56.73,39.78,37.86,20.16,14.96,,70.12,66.74,35.53,26.37,14.1,22.66,4.31,2.14,0.17,,1.86,1.86,0,20.05,17.77,79.95,82.23,,"27,623.94",5.75,8.2,2.18,79.94,1.17,2.18,0.12,
MANGALAM,Mangalam Drugs & Organics Ltd.,,0.8,0.8,7.74,96,96,0,235.18,16.4,9.45,1.4,0.8,,6.97,4.02,0.59,0.34,0.83,7.7,0.35,0.45,1.08,,1.25,0.42,2.18,0,0,0,0,,220.52,0.59,8.5,0.42,0,1.02,0.42,0.01,
MANGCHEFER,Mangalore Chemicals and Fertilisers Ltd.,,11.36,11.36,16.39,67.75,67.75,1.5,307.18,28.69,23.65,14.85,11.36,,9.33,7.7,4.83,3.69,16.76,22.39,5.06,1.69,1.35,,1.1,0.93,5.95,10.56,7.31,89.44,92.69,,"2,154.30",0.59,6.33,0.32,89.43,1.45,0.32,0.12,
MANGLMCEM,Mangalam Cement Ltd.,,6.23,6.23,31.49,275.02,275.02,1.5,655.19,66.48,41.22,10.08,6.23,,10.14,6.29,1.53,0.95,2.26,9.35,0.86,0.81,0.92,,0.86,0.53,1.36,24.08,4.76,75.92,95.24,,"1,198.23",0.67,6.55,0.4,75.91,0.96,0.4,0.02,
MANINDS,Man Industries (India) Ltd.,,11.21,11.21,18.7,166.85,166.85,2,348.15,29.25,21.74,14.92,11.19,,8.4,6.24,4.28,3.21,6.7,11.24,3.89,0.3,1.18,,1.66,1.47,7.05,17.59,10.52,82.41,89.48,,695.47,0.33,3.96,0.27,82.4,0.56,0.27,0.12,
MANUGRAPH,Manugraph Industries Ltd.,,-3.71,-3.71,-3.26,32.6,32.6,0,26.16,-4.56,-5.02,-3.61,-3.71,,-17.44,-19.18,-13.8,-14.19,-11.39,-12.54,-6.56,0.11,0.47,,1.43,0.24,1.21,0,0,0,0,,53.12,0.67,-3.83,0.56,0,0.45,0.56,-0.26,
MARALOVER,Maral Overseas Ltd.,,-3.84,-3.84,3.38,33.97,33.97,0,247.15,8.36,1.14,-4.42,-3.84,,3.38,0.46,-1.78,-1.55,-11.29,1.65,-2.51,2.33,1.68,,1.07,0.56,3.37,-52.12,59.13,152.12,40.87,,517,0.5,14.9,0.19,152.12,1.38,0.19,-0.08,
MARICO,Marico Ltd.,,9.13,9.1,9.98,28.5,28.5,4.5,57.97,12.69,11.84,11.57,9.14,,21.89,20.43,19.95,15.76,32.06,40.55,23.16,0.02,1.56,,2.18,1.5,3.85,49.36,45.18,50.64,54.82,,"61,791.30",8.26,37.75,8.28,50.63,16.83,8.28,0.02,
MARUTI,Maruti Suzuki India Ltd.,,266.46,266.46,360.02,"1,999.40","1,999.40",90,"3,891.49",436.06,342.57,336.39,266.53,,11.2,8.8,8.64,6.84,13.33,16.4,9.67,0.02,1.5,,0.58,0.36,11.94,22.51,16.67,77.49,83.33,,"251,616.13",2.14,19.11,2.13,77.48,4.15,2.13,0.03,
MASKINVEST,Mask Investments Ltd.,,0.19,0.19,0.19,321.39,321.39,0,1.01,0.34,0.34,0.26,0.19,,33.53,33.53,25.55,19.11,0.06,0.1,0.05,0.01,0,,1.54,1.54,0,0,0,0,0,,14.1,45.71,136.34,43.29,0,0.14,43.32,0,
MASTEK,Mastek Ltd.,,43.85,43.07,47.57,243.36,243.36,19,102.68,39.48,35.21,54.28,43.3,,38.44,34.28,52.85,42.16,17.79,14.17,15.83,0,0.4,,1,1,0,43.44,39.54,56.56,60.46,,"4,698.53",14.99,39,15.01,56.55,6.33,15.01,0.03,
MATRIMONY,Matrimony.com Ltd.,,21.2,21.19,34.44,114.47,114.47,5,201.59,41.35,28.35,25.7,21.44,,20.51,14.06,12.75,10.63,18.73,20.49,10.25,0,0.91,,2.07,2.07,0,23.99,14.94,76.01,85.06,,924.76,2.06,10.05,2.55,76,4.49,2.55,0.04,
MAWANASUG,Mawana Sugars Ltd.,,4.41,4.41,13.5,106.73,106.73,3,378.76,21.56,12.46,4.94,4.41,,5.69,3.29,1.3,1.16,4.12,11.2,1.62,0.91,1.39,,1.16,0.15,1.87,68.03,22.2,31.97,77.8,,698.64,0.47,8.28,0.24,31.96,0.85,0.24,0.05,
MAZDA,Mazda Ltd.,,66.48,66.48,74.36,464.18,464.18,14,478.2,98.64,90.77,89.19,66.48,,20.62,18.98,18.65,13.9,14.32,19.11,11.87,0,0.92,,4.25,2.7,2.46,18.2,16.27,81.8,83.73,,240.03,1.25,6.08,1.3,81.79,1.33,1.3,0.11,
MBAPL,Madhya Bharat Agro Products Ltd.,,28.35,28.35,33.46,74.95,74.95,0.5,224.14,49.07,43.96,40.21,28.35,,21.89,19.61,17.93,12.64,37.82,45.31,16.71,0.98,1.66,,1.58,0.9,3.51,0.88,0.74,99.12,99.26,,"2,791.41",2.84,12.98,2.54,99.11,7.58,2.54,0.05,
MCLEODRUSS,Mcleod Russel (India) Ltd.,,-100.47,-100.47,-95.43,14.03,39.14,0,104.99,7.25,2.21,-104.75,-100.47,,6.9,2.1,-99.77,-95.68,-716.03,4.49,-31.56,12.2,0.29,,0.07,0.04,0.44,0,0,0,0,,"1,953.66",1.78,25.81,0.16,0,1.21,0.16,-5.92,
MEGASOFT,Megasoft Ltd.,,1.56,1.56,1.94,22.81,26.57,0,0.27,3.28,2.89,1.56,1.56,,"1,226.02","1,081.91",582.36,582.36,6.82,5.98,3.02,0.87,0.01,,2.52,2.52,0,0,0,0,0,,300.18,152.3,12.42,82.6,0,0.97,82.66,0.07,
MENONBE,Menon Bearings Ltd.,,5.84,5.84,7.25,23.81,23.81,2,39.14,9.54,8.13,7.61,5.84,,24.36,20.75,19.43,14.91,24.52,31.86,17.99,0.11,1.27,,2.22,1.66,4.12,34.25,27.58,65.75,72.42,,542.32,2.47,10.15,2.47,65.74,4.05,2.47,0.06,
