Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
APOLLOTYRE,Apollo Tyres Ltd.,,9.11,9.11,23.39,155.88,155.88,4.5,272.41,34.42,20.14,12.78,9.11,,12.63,7.39,4.69,3.34,5.84,8.77,2.87,0.41,0.86,,0.96,0.54,4.51,35.66,13.89,64.34,86.11,,"23,878.47",1.38,10.92,1.17,64.33,2.05,1.17,0.03,
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,45.86,45.86,58.08,267.12,267.12,1.5,994.04,91.5,79.29,63.7,45.86,,9.2,7.97,6.4,4.61,17.16,15.63,5.52,1.44,1.63,,1.34,1.31,0,3.27,2.58,96.73,97.42,,316.73,1.23,13.31,1.06,96.72,3.94,1.06,0.04,
ARCHIDPLY,Archidply Industries Ltd.,,6.15,6.15,8.16,52.25,52.25,0,208.66,13.22,11.21,8.31,6.15,,6.33,5.37,3.98,2.94,11.77,19.99,5.35,0.61,1.94,,1.28,0.85,2.95,0,0,0,0,,164.14,0.4,6.25,0.24,0,0.98,0.24,0.12,
ARCHIES,Archies Ltd.,,0.71,0.71,3.75,28.26,31.76,0,25.47,4.9,1.87,0.33,0.71,,19.25,7.33,1.29,2.79,2.52,4.69,1.36,0.21,0.48,,1.87,0.27,0.24,0,0,0,0,,78.74,0.92,4.75,0.68,0,0.61,0.68,0.04,
ARCOTECH,Arcotech Ltd.,,-7.82,-7.82,-6.78,-8.81,-8.81,0,0,-8.33,-9.37,-11.44,-7.82,,0,0,0,0,0,179.58,-15.73,-5.27,0,,0.41,0.36,0,0,0,0,0,,515.49,0,-5.89,0,0,-0.27,0,-3.34,
ARENTERP,Rajdarshan Industries Ltd.,,0.95,0.95,0.98,66.79,66.79,0,6.12,1.02,0.99,0.99,0.95,,16.67,16.21,16.21,15.56,1.42,1.48,1.39,0,0.09,,18.3,18.3,0,0,0,0,0,,4.8,2.52,15.11,4.44,0,0.41,4.44,0.04,
ARIES,Aries Agro Ltd.,,15.56,15.56,21.42,174.91,174.91,1,361.33,46.23,40.37,22.57,15.56,,12.79,11.17,6.24,4.3,8.89,20.11,4.06,0.41,0.96,,1.71,1.11,1.1,5.14,3.73,94.86,96.27,,281.95,0.6,4.69,0.41,94.85,0.85,0.41,0.11,
ARIHANTSUP,Arihant Superstructures Ltd.,,4.49,4.49,4.58,42.83,42.83,0.5,18.18,6.27,6.18,4.47,4.49,,34.5,33.98,24.61,24.67,10.47,9.43,5.02,0.55,0.24,,3.21,1.87,0,0,0,0,0,,911.02,12.17,35.28,10.94,0,4.64,10.94,0.02,
ARROWGREEN,Arrow Greentech Ltd.,,13.09,13.09,15.35,58.42,58.42,0,69.92,21.15,18.32,17.63,12.51,,30.25,26.19,25.21,17.89,21.41,30.11,17.79,0.03,1.2,,4.15,3.15,5.02,0,0,0,0,,365.08,3.46,11.44,3.66,0,4.38,3.66,0.05,
ARVIND,Arvind Ltd.,,13.26,13.23,21.2,126.06,126.06,5.75,295.32,28.63,20.66,15.84,13.23,,9.69,6.99,5.36,4.47,10.49,14.17,5.4,0.41,1.12,,1.05,0.48,2.25,0,0,0,0,,"3,553.66",0.46,4.75,0.29,0,0.68,0.29,0.15,
ARVSMART,Arvind SmartSpaces Ltd.,,8.71,8.41,8.73,116.71,116.71,3.3,25.88,11.96,11.68,10.45,8.45,,46.2,45.11,40.36,32.63,7.23,9.08,3.9,0.1,0.13,,1.07,0.61,0,0,0,0,0,,"1,309.86",11.17,24.17,10.89,0,2.41,10.89,0.03,
ASAHIINDIA,Asahi India Glass Ltd.,,15.13,15.13,21.45,87.5,87.5,2,161.18,34.14,27.81,23.66,15.13,,21.17,17.25,14.67,9.38,17.29,22.17,7.98,0.62,0.93,,1.23,0.6,1.67,13.21,9.32,86.79,90.68,,"12,203.30",3.11,14.7,2.81,86.78,5.17,2.81,0.03,
ASAL,Automotive Stampings and Assemblies Ltd.,,5.25,5.25,13.96,-17.23,-17.23,0,522.07,21.97,13.26,5.25,5.25,,4.2,2.53,1,1,-30.44,196.38,3.68,-1.68,4.07,,0.59,0.35,14.59,0,0,0,0,,514.02,0.62,14.75,0.57,0,-17.22,0.57,0.02,
