Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,,,,,
KECL,Kirloskar Electric Co Ltd.,,8.76,8.76,9.54,15.53,15.53,0,50.39,13.88,13.09,8.76,8.76,,27.53,25.98,17.37,17.37,56.38,49.33,9.27,1.29,0.53,,0.33,0.22,5.86,0,0,0,0,,259.83,0.78,2.82,0.52,0,1.68,0.52,0.33,,,,,
KEEPLEARN,DSJ Keep Learning Ltd.,,0.16,0.16,0.17,-0.06,-0.06,0,0.62,0.18,0.17,0.13,0.16,,28.13,27.05,20.28,26.42,-282.79,48.18,26.6,-6.26,1.9,,1.71,1.71,0,0,0,0,0,,14.25,2.96,10.51,2.41,0,-25.82,2.41,0.11,,,,,
KEI,KEI Industries Ltd.,,41.8,41.59,47.91,236.98,236.98,2.5,635.54,66.99,60.83,56.35,41.75,,10.54,9.57,8.86,6.56,17.61,24.97,10.66,0.16,1.75,,2.22,1.41,4.91,5.98,5.21,94.02,94.79,,"11,364.22",1.98,18.83,1.99,94.01,5.34,1.99,0.03,,,,,
KELLTONTEC,Kellton Tech Solutions Ltd.,,1.16,1.16,1.65,14.64,14.64,0,12.78,2.47,1.96,1.51,1.13,,19.35,15.31,11.78,8.84,7.71,11.56,5.27,0.26,0.61,,2.08,2.08,0,0,0,0,0,,844.42,6.86,35.42,6.58,0,5.75,6.58,0.01,,,,,
KERNEX,Kernex Microsystems (India) Ltd.,,-13.26,-13.26,-12.11,46.88,46.88,0,4.29,-6.37,-7.52,-12.98,-13.26,,-148.58,-175.37,-302.75,-309.3,-28.28,-15.78,-20.12,0.2,0.06,,2.02,1.71,0.33,0,0,0,0,,180.33,33.65,-22.65,34.95,0,3.2,34.95,-0.09,,,,,
KHADIM,Khadim India Ltd.,,3.59,3.59,22.28,115.55,115.55,0,328.93,35.66,16.97,4.33,3.59,,10.84,5.15,1.31,1.09,3.11,9.44,0.99,0.59,0.92,,1.22,0.71,1.28,0,0,0,0,,510.53,0.86,7.97,0.68,0,1.92,0.68,0.02,,,,,
KHAITANLTD,Khaitan (India) Ltd.,,-6.92,-6.92,-3.13,36.81,36.81,0,110.02,2.14,-1.65,-6.92,-6.92,,1.94,-1.49,-6.28,-6.28,-18.78,-2.6,-4.29,0.88,0.67,,0.47,0.39,0,0,0,0,0,,32.29,0.62,31.81,0.33,0,0.99,0.33,-0.19,,,,,
KHANDSE,Khandwala Securities Ltd.,,0.1,0.1,0.34,17.36,17.36,0,5.11,0.89,0.65,0.05,0.1,,17.38,12.7,1.04,1.97,0.58,2.82,0.25,0.31,0.14,,0.94,0.94,0,0,0,0,0,,21.55,3.53,20.32,3.94,0,1.16,3.95,0,,,,,
KICL,Kalyani Investment Company Ltd.,,59.66,59.66,59.89,"11,879.58","11,879.58",0,89.81,83.23,83.01,83.01,59.66,,92.66,92.42,92.42,66.42,0.5,0.69,0.49,0,0.01,,"5,062.99","5,062.99",0,0,0,0,0,,607.01,15.48,16.71,17.67,0,0.13,17.67,0.04,,,,,
KILITCH,Kilitch Drugs (India) Ltd.,,6.76,6.76,7.37,114.25,114.25,0,67.49,9.98,9.36,8.94,6.76,,14.79,13.87,13.24,10.01,5.91,8.18,4.53,0.11,0.49,,1.81,1.72,14.04,0,0,0,0,,279.2,2.66,17.95,2.48,0,1.47,2.48,0.04,,,,,
KINGFA,Kingfa Science & Technology Ltd.,,25.29,25.29,36,317.57,317.57,0,865.13,68.41,57.7,34.14,25.29,,7.9,6.66,3.94,2.92,7.96,17.08,3.49,0.11,1.35,,1.3,0.74,4.47,0,0,0,0,,"1,546.18",1.48,18.66,1.46,0,3.99,1.46,0.02,,,,,
KIOCL,KIOCL Ltd.,,5.16,5.16,5.67,35.27,35.27,1.77,49.47,7.48,6.96,6.76,5.16,,15.11,14.07,13.67,10.42,14.62,17.99,11.77,0,1.17,,6.62,5.5,7.14,50.8,46.2,49.2,53.8,,"11,554.80",3.84,25.43,4.21,49.19,5.9,4.21,0.02,,,,,
KIRIINDUS,Kiri Industries Ltd.,,-2.36,-1.85,6.62,120.58,120.58,0,219.31,6.42,-2,-2.89,-1.8,,2.92,-0.9,-1.31,-0.81,-1.49,-1.56,-0.88,0.15,1.06,,0.62,0.32,7.31,0,0,0,0,,"2,627.97",2.31,78.96,2.23,0,4.06,2.23,0,,,,,
KIRLOSENG,Kirloskar Oil Engines Ltd.,,14.38,14.38,19.73,147.96,147.96,4,228.19,20.3,14.96,18.17,14.39,,8.89,6.55,7.96,6.3,9.72,9.56,6.9,0.05,1.13,,1.81,1.41,5.49,27.8,20.27,72.2,79.73,,"1,974.77",0.6,6.73,0.58,72.19,0.89,0.58,0.11,,,,,
KIRLOSIND,Kirloskar Industries Ltd.,,62.45,61.04,65.13,"1,650.54","1,650.54",10,74.23,86.36,83.45,81.9,62.22,,116.33,112.41,110.33,83.81,3.76,4.99,3.7,0.01,0.05,,240.34,240.34,0,15.95,15.24,84.05,84.76,,"1,513.09",20.84,17.91,20.89,84.04,0.94,20.89,0.04,,,,,
KITEX,Kitex Garments Ltd.,,19.29,19.29,22.51,128.53,128.53,1.5,118.55,30.2,26.98,26.43,19.29,,25.47,22.75,22.29,16.27,15,20.52,12.37,0.09,0.85,,4.26,3.31,2.59,7.77,6.66,92.23,93.34,,"1,598.26",2.03,7.96,2.1,92.22,1.94,2.1,0.08,,,,,
KKCL,Kewal Kiran Clothing Ltd.,,13.25,13.25,14.39,77.6,77.6,19,98.6,18.97,17.83,17.09,13.25,,19.23,18.08,17.33,13.43,17.07,22.76,10.98,0.16,0.92,,2.35,1.92,2.33,45.28,41.69,54.72,58.31,,"1,115.76",1.84,9.54,2.03,54.71,2.57,2.03,0.07,,,,,
KMSUGAR,KM Sugar Mills Ltd.,,4.51,4.51,6.16,27.42,27.42,0.2,59.6,9.01,7.36,6.08,4.51,,15.11,12.35,10.2,7.56,16.43,23.16,6.45,0.89,0.87,,1.19,0.09,1.13,4.43,3.24,95.57,96.76,,483.85,0.88,5.84,0.49,95.56,1.06,0.49,0.15,,,,,
KOHINOOR,Kohinoor Foods Ltd.,,-1.67,-1.67,0.38,-181.33,-138.48,0,26.59,0.84,-1.24,-1.49,-1.7,,3.15,-4.68,-5.58,-6.39,0,0.9,-2.92,-1.06,0.39,,0.06,0.05,9.02,0,0,0,0,,736.58,7.47,236.68,0.28,0,-0.04,0.28,-0.23,,,,,
KOKUYOCMLN,Kokuyo Camlin Ltd.,,-0.47,-0.47,1.29,23.87,23.87,0,50.69,1.72,-0.05,-0.47,-0.47,,3.38,-0.09,-0.92,-0.92,-1.97,-0.18,-1.21,0.29,1.31,,1.58,0.66,1.57,0,0,0,0,,656.01,1.29,38.1,1.17,0,2.48,1.17,-0.01,,,,,
KOTARISUG,Kothari Sugars and Chemicals Ltd.,,4.11,4.11,5.81,26.54,26.54,0,51.09,6.81,5.11,4.75,4.11,,13.33,10,9.29,8.03,15.46,17.03,8.63,0.25,1.15,,1.61,0.74,3.04,0,0,0,0,,72.21,0.17,1.28,0.04,0,0.08,0.04,2.05,,,,,
KOTHARIPET,Kothari Petrochem Ltd.,,5.59,5.59,6.49,26.33,26.33,0,64.46,9.18,8.24,8.14,5.56,,14.23,12.78,12.62,8.61,21.1,27.98,14.74,0.07,1.94,,2.19,1.66,12.04,0,0,0,0,,11.89,0.03,0.22,0.03,0,0.06,0.03,3.27,,,,,
KPITTECH,KPIT Technologies Ltd.,,8.83,8.73,11.84,45.14,45.14,3.1,43.74,13.67,10.64,10.24,8.82,,31.24,24.33,23.41,20.16,19.53,20.83,13.81,0,0.78,,2.51,2.51,0,31.13,23.18,68.87,76.82,,"15,781.11",13.36,42.77,13.74,68.86,13.31,13.74,0.01,,,,,
KRBL,KRBL Ltd.,,19.54,19.54,22.69,172.61,172.61,3.5,178.87,29.96,26.81,26.24,19.54,,16.75,14.99,14.67,10.92,11.32,14.84,9.7,0.02,0.9,,7.39,1.6,1.02,17.9,15.42,82.1,84.58,,"4,442.33",1.06,6.3,1.13,82.09,1.17,1.13,0.1,,,,,
KRIDHANINF,Kridhan Infra Ltd.,,-42.64,-42.64,-42.37,-29.38,-29.38,0,1.77,0.1,-0.17,-42.75,-42.64,,5.49,-9.67,"-2,419.28","-2,413.01",0,0.58,-498.8,-0.08,0.13,,0.03,0.03,0,0,0,0,0,,65.86,3.93,71.58,2.66,0,-0.16,2.66,-9.07,,,,,
KRISHANA,Krishana Phoschem Ltd.,,10.5,10.42,13.34,74.58,74.58,0.5,107.75,19.2,15.8,14.43,9.94,,17.81,14.66,13.39,9.22,13.32,16.87,8.93,0.31,1.22,,2.58,1.52,3.14,4.64,3.46,95.36,96.54,,892.61,2.79,15.69,2.58,95.35,3.73,2.58,0.04,,,,,
KSCL,Kaveri Seed Company Ltd.,,35.23,35.23,39.27,221.92,221.92,4,156.89,40.88,37.43,37.41,35.82,,26.05,23.85,23.84,22.83,16.14,16.33,11.21,0,0.48,,2.73,1.15,0.54,11.16,10.18,88.84,89.82,,"3,172.43",3.47,13.31,3.48,88.83,2.46,3.48,0.07,,,,,
KSL,Kalyani Steels Ltd.,,55.65,55.65,66.04,312.72,312.72,10,390.15,88.03,77.53,74.51,55.55,,22.56,19.87,19.09,14.23,17.76,21.32,10.76,0.25,0.87,,2.33,2.01,5.76,13.47,11.33,86.53,88.67,,660.3,0.39,1.72,0.76,86.52,0.95,0.76,0.19,,,,,
KTKBANK,Karnataka Bank Ltd.,,16.36,16.29,18.71,213.25,228,4,199.94,16.35,,"7,302,422.18","596,971.24","160,997,635.68",,"70,942,573.55","5,799,538.20","1,564,081,933.87",,1.81,32.96,8.17,-7.15,0.55,7.66,2.7,40.92,6.75,1.03,-0.48,1.96,4.05,,"80,467.37",12.93,0.26,0.28,88.99,0.3,,,,,,
LAOPALA,La Opala RG Ltd.,,7.87,7.87,9.1,66.71,66.71,2.3,29.07,12.74,11.51,10.5,7.87,,43.82,39.58,36.1,27.07,11.79,16.24,10.32,0.02,0.41,,7.12,6.51,1.92,38.11,32.95,61.89,67.05,,"3,848.52",11.93,27.22,11.9,61.88,5.18,11.9,0.02,,,,,
LASA,Lasa Supergenerics Ltd.,,-1.3,-1.3,2.12,36.54,36.54,0.25,33.71,3.86,0.42,-1.53,-1.32,,11.44,1.23,-4.52,-3.91,-3.61,1.08,-2.69,0,0.67,,1.65,1.39,6.14,0,0,0,0,,152.41,1.11,9.71,1.24,0,1.14,1.24,-0.03,,,,,
LAURUSLABS,Laurus Labs Ltd.,,13.97,13.97,18.34,63.05,63.05,2,87.6,24.17,19.79,18.15,13.96,,27.59,22.58,20.72,15.93,22.13,25.46,11.35,0.48,0.77,,1.32,0.62,1.42,11.44,8.71,88.56,91.29,,"33,285.44",7.07,25.63,6.74,88.55,9.36,6.74,0.02,,,,,
LAXMIMACH,Lakshmi Machine Works Ltd.,,168.19,168.19,220.44,"1,858.30","1,858.30",40,"2,875.22",290.2,237.95,221.8,168.19,,10.09,8.27,7.71,5.84,9.05,10.43,4.96,0,0.97,,1.51,1.09,4.9,5.94,4.53,94.06,95.47,,"9,826.14",3.2,31.7,3.35,94.05,5.18,3.35,0.02,,,,,
LCCINFOTEC,LCC Infotech Ltd.,,-0.06,-0.06,-0.05,4.49,4.49,0,0.09,-0.05,-0.06,-0.06,-0.06,,-55.84,-60.13,-63.42,-63.42,-1.29,-1.22,-1.19,0.05,0.02,,4.48,4.46,0,0,0,0,0,,47.6,41.02,-73.45,38.73,0,0.79,38.76,-0.02,,,,,
LGBFORGE,LGB Forge Ltd.,,0.14,0.14,0.33,1.65,1.65,0,5.46,0.43,0.24,0.14,0.14,,7.86,4.37,2.64,2.64,8.75,13.78,4.05,0.3,1.57,,1.45,0.84,3.23,0,0,0,0,,267.79,2.06,26.19,1.97,0,6.52,1.97,0.01,,,,,
LIBAS,Libas Consumer Products Ltd.,,1.45,1.45,1.95,18.46,18.46,0,26.26,3.57,3.07,2.02,1.45,,13.6,11.7,7.7,5.52,7.85,15.51,4.4,0.3,0.8,,2.08,0.82,1.71,0,0,0,0,,51.56,1.11,8.18,0.92,0,1.31,0.92,0.06,,,,,
LIBERTSHOE,Liberty Shoes Ltd.,,1.32,1.32,18.36,110.92,110.92,0,286.28,26.72,9.67,2.34,1.32,,9.33,3.37,0.81,0.45,1.18,5.9,0.51,0.34,1.03,,1.89,0.79,0.84,0,0,0,0,,311.21,0.64,6.84,0.51,0,1.32,0.51,0.01,,,,,
LICHSGFIN,LIC Housing Finance Ltd.,,43.14,43.14,42.51,448.25,448.25,8.5,361.9,308.58,307.63,50.48,41.56,,85.26,85,13.94,11.48,9.27,9.82,0.89,9.07,0.08,,3.07,3.07,0,20.44,19.98,79.56,80.02,,"242,507.64",12.17,14.28,0.99,79.55,0.8,0.99,0.12,,,,,
LINC,Linc Ltd.,,5.47,5.47,14.09,96.05,96.05,1.8,238.67,16.41,7.79,7.3,5.47,,6.87,3.26,3.05,2.29,5.69,7.8,4.03,0.02,1.77,,2.14,0.93,1.89,0,0,0,0,,423.01,1.19,17.33,1.18,0,2.94,1.18,0.02,,,,,
LINCOLN,Lincoln Pharmaceuticals Ltd.,,34.63,34.63,38.66,216.12,216.12,1.5,235.69,52.66,48.62,47.89,34.63,,22.34,20.62,20.32,14.69,16.02,21.93,12.98,0,0.97,,3.91,3.1,2.8,4.33,3.87,95.67,96.13,,606.63,1.29,5.75,1.32,95.66,1.44,1.32,0.11,,,,,
LOKESHMACH,Lokesh Machines Ltd.,,3.55,3.55,8.59,83.39,83.39,0,112.78,17.09,12.05,5.23,3.55,,15.15,10.68,4.63,3.14,4.25,11.65,2.15,0.58,0.69,,1.44,0.54,1.1,0,0,0,0,,220.15,1.09,7.2,0.69,0,0.93,0.69,0.05,,,,,
LOTUSEYE,Lotus Eye Care Hospital Ltd.,,1.44,1.44,2.64,26.26,26.26,0.5,18.71,3.24,2.03,1.97,1.44,,17.3,10.87,10.52,7.67,5.46,7.57,4.84,0,0.64,,2.24,1.84,3.19,0,0,0,0,,102.1,2.62,15.17,2.85,0,2.03,2.85,0.03,,,,,
LOVABLE,Lovable Lingerie Ltd.,,3.86,3.86,4.98,116.52,116.52,0.5,65.69,5.73,4.61,4.58,3.86,,8.72,7.01,6.97,5.87,3.31,3.7,2.82,0.01,0.5,,4.16,1.63,1.05,12.95,10.04,87.05,89.96,,204.3,2.1,24.09,2.09,87.04,1.18,2.09,0.03,,,,,
LTTS,L&T Technology Services Ltd.,,87.26,87.08,104.37,377.4,377.4,35,556.75,139.6,122.29,118.56,87.06,,25.07,21.96,21.29,15.63,23.06,28.81,16.09,0,1.12,,3.27,3.27,0,39.55,32.99,60.45,67.01,,"53,209.93",9.06,36.13,9.16,60.44,13.52,9.16,0.02,,,,,
LUMAXIND,Lumax Industries Ltd.,,37.91,37.91,106.02,452.21,452.21,13.5,"1,873.52",158.72,90.61,49.37,37.91,,8.47,4.83,2.63,2.02,8.38,14.92,2.43,0.86,1.28,,0.69,0.39,4.63,18.46,6.6,81.54,93.4,,"1,175.94",0.67,7.93,0.47,81.53,1.96,0.47,0.04,,,,,
LUXIND,Lux Industries Ltd.,,113.53,113.53,114.69,420.61,420.61,12,726.2,156.79,151.17,146.73,109.07,,21.58,20.81,20.2,15.01,25.93,34.9,17.31,0.23,1.32,,2.74,1.41,1.85,10.57,10.05,89.43,89.95,,"7,099.79",3.12,14.47,3.02,89.42,5.22,3.02,0.05,,,,,
LYPSAGEMS,Lypsa Gems and Jewellery Ltd.,,0.02,0.02,0.12,10.79,10.79,0,4.76,0.11,0.01,0.01,0.02,,2.24,0.3,0.3,0.5,0.22,0.13,0.08,0.42,0.15,,1.53,1.51,2.27,0,0,0,0,,30.16,2.15,95.63,1.24,0,0.55,1.24,0,,,,,
MAANALU,Maan Aluminium Ltd.,,16.26,16.26,18.82,62.4,62.4,1,423.26,28.18,25.61,22,16.26,,6.65,6.05,5.19,3.84,26.04,37.95,12.82,0.77,3.45,,1.55,1.09,5.2,6.15,5.31,93.85,94.69,,245.59,0.43,6.45,0.32,93.84,2.16,0.32,0.12,,,,,
MADHAV,Madhav Marbles and Granites Ltd.,,2.17,2.17,7.6,152.53,152.53,0.25,59.43,8.17,2.74,2.26,2.17,,13.74,4.61,3.8,3.65,1.42,1.75,1.26,0.04,0.34,,4.37,2.19,0.82,23.04,6.58,76.96,93.42,,49.45,0.93,6.77,0.89,76.95,0.35,0.89,0.04,,,,,
MADHUCON,Madhucon Projects Ltd.,,-4.58,-4.58,-3.92,71.5,71.5,0,95.38,-0.83,-1.48,-2.04,-4.57,,-0.87,-1.54,-2.14,-4.78,-6.38,-1.77,-1.36,1.35,0.28,,0.09,0.09,0,0,0,0,0,,747.73,1.06,-121.47,0.06,0,0.08,0.06,-0.8,,,,,
MADRASFERT,Madras Fertilizers Ltd.,,10.06,10.06,10.58,-31.17,-31.17,0,141.99,16.61,16.03,10.28,9.99,,11.69,11.28,7.24,7.03,-32.06,-60.54,8.48,-3.43,1.47,,0.61,0.49,5.67,0,0,0,0,,"2,506.49",1.09,9.31,0.35,0,-1.59,0.35,0.2,,,,,
MAGADSUGAR,Magadh Sugar & Energy Ltd.,,32.66,32.66,47.5,424.59,424.59,6.5,706.14,90.23,75.38,47.16,32.66,,12.77,10.67,6.67,4.62,7.69,13.68,3.41,1.06,0.72,,0.94,0.11,0.96,12.24,8.42,87.76,91.58,,"1,079.46",1.08,8.49,0.45,87.75,0.74,0.45,0.1,,,,,
MAGNUM,Magnum Ventures Ltd.,,1.48,1.48,5.38,-13.61,-13.61,0,87.31,6.75,2.74,1.24,1.37,,7.72,3.13,1.42,1.56,-10.05,5.91,1.63,-5.35,1.04,,0.72,0.49,8.51,0,0,0,0,,309.74,0.94,12.21,0.13,0,-0.81,0.13,0.12,,,,,
MAHABANK,Bank of Maharashtra,,1.72,1.72,2.11,18.29,20.63,0.5,19.34,1.71,,"10,234,431.18","905,224.59","262,137,198.88",,"64,387,833.33","5,695,035.61","1,649,182,644.41",,2.16,57.85,8.84,-11.52,0.49,9.35,2.62,48.14,5.64,1.15,-0.65,1.66,3.02,,"201,559.04",15.48,0.91,0.86,70.77,0.1,,,,,,
MAHASTEEL,Mahamaya Steel Industries Ltd.,,2.13,2.13,5.52,75.16,75.16,0,301.4,9.66,6.05,2.99,1.91,,3.2,2,0.99,0.63,2.54,6.31,1.57,0.28,2.35,,2.21,1.11,6.58,0,0,0,0,,145.29,0.29,9.15,0.23,0,0.93,0.23,0.03,,,,,
MAHESHWARI,Maheshwari Logistics Ltd.,,5.79,5.79,9.92,52.23,52.23,0.5,349.58,18.42,14.29,8,5.79,,5.26,4.08,2.28,1.65,11.09,16.63,3.98,1.13,2.59,,1.58,1.07,4.93,8.62,5.04,91.38,94.96,,466.73,0.45,8.56,0.3,91.37,1.99,0.3,0.06,,,,,
MAHSCOOTER,Maharashtra Scooters Ltd.,,124.87,124.87,126.59,"19,996.28","19,996.28",80,15.04,152.43,150.71,150.71,124.87,,"1,013.42","1,001.98","1,001.98",830.23,0.62,0.69,0.57,0,0,,17.23,16.42,1.88,40.04,39.49,59.96,60.51,,"4,200.58",244.37,24.11,244.63,59.95,0.18,244.64,0.03,,,,,
MAITHANALL,Maithan Alloys Ltd.,,277.44,277.44,282.71,797.69,797.69,6,"1,050.36",373.21,367.96,367.56,277.46,,35.53,35.03,34.99,26.41,34.78,45.51,29.67,0,1.32,,6.5,4.85,2.02,2.16,2.12,97.84,97.88,,"3,772.25",1.23,3.47,1.26,97.83,1.66,1.26,0.21,,,,,
MALUPAPER,Malu Paper Mills Ltd.,,-3.61,-3.61,-0.7,10.11,10.11,0,124.22,2.74,-0.22,-4.86,-3.67,,2.2,-0.18,-3.91,-2.95,-36.3,-1.61,-4.02,5.95,1.38,,0.58,0.26,4.45,0,0,0,0,,160.25,0.76,34.22,0.28,0,3.44,0.28,-0.11,,,,,
MANAKALUCO,Manaksia Aluminium Company Ltd.,,1.14,1.14,2.08,17.75,17.75,0,66.56,4.28,3.34,1.3,1.14,,6.42,5.01,1.95,1.7,6.41,13.26,2,1.09,1.26,,1.27,0.56,2.48,0,0,0,0,,267.35,0.61,9.54,0.36,0,1.35,0.36,0.05,,,,,
MANAKCOAT,Manaksia Coated Metals & Industries Ltd.,,1.37,1.37,2.67,16.77,16.77,0,98.84,6.62,5.31,1.79,1.37,,6.69,5.37,1.81,1.38,8.14,16.4,1.87,1.47,1.42,,1.13,0.38,3.06,0,0,0,0,,308.29,0.48,7.11,0.26,0,1.55,0.26,0.05,,,,,
MANAKSTEEL,Manaksia Steels Ltd.,,4.51,4.51,5.37,39.29,39.29,0,76.99,7.18,6.32,6.19,4.51,,9.32,8.2,8.04,5.85,11.48,15.76,10.2,0.03,1.7,,6.17,3.13,5.01,0,0,0,0,,283.35,0.56,6.03,0.56,0,1.1,0.56,0.1,,,,,
MANAPPURAM,Manappuram Finance Ltd.,,15.41,15.41,17.27,93.84,93.84,3,53.91,38.98,37.12,20.67,15.41,,72.3,68.85,38.34,28.59,16.42,19.75,4.83,2.26,0.17,,2.34,2.34,0,19.46,17.36,80.54,82.64,,"25,782.55",5.65,7.82,2.11,80.53,1.21,2.11,0.14,,,,,
MANGALAM,Mangalam Drugs & Organics Ltd.,,12.42,12.42,18.89,95.12,95.12,0,284.98,31.05,24.57,17.52,12.42,,10.89,8.62,6.14,4.35,13.05,19.61,5.98,0.48,1.53,,1.4,0.5,3.86,0,0,0,0,,233.04,0.52,4.74,0.36,0,1.08,0.36,0.12,,,,,
MANGCHEFER,Mangalore Chemicals and Fertilisers Ltd.,,7.41,7.41,11.68,57.62,57.62,1.2,244.25,19.79,15.53,11.36,7.41,,8.1,6.35,4.65,3.03,12.86,18.69,3.23,1.96,1.23,,1.04,0.8,6.12,13.48,8.56,86.52,91.44,,"1,808.66",0.62,7.71,0.35,86.51,1.5,0.35,0.09,,,,,
MANGLMCEM,Mangalam Cement Ltd.,,28.26,28.26,50.92,269.91,269.91,1.5,569.53,89.4,66.74,43.31,28.26,,15.69,11.71,7.6,4.96,10.46,14.58,4.02,0.84,0.83,,1.04,0.73,1.31,5.15,2.85,94.85,97.15,,"1,539.97",0.98,6.26,0.68,94.84,1.44,0.68,0.07,,,,,
MANINDS,Man Industries (India) Ltd.,,17.72,17.46,24.75,158.87,158.87,0,353.86,36.69,29.05,22.75,17.11,,10.36,8.2,6.42,4.83,10.76,17.63,5.55,0.06,1.16,,1.42,1.06,4.68,0,0,0,0,,385.55,0.18,1.78,0.27,0,0.6,0.27,0.18,,,,,
MANUGRAPH,Manugraph Industries Ltd.,,-5.05,-5.05,-4.61,36.05,36.05,0,15.14,-3.52,-3.96,-5.12,-5.05,,-23.25,-26.17,-33.8,-33.34,-14,-9.07,-9.03,0.16,0.26,,1.8,0.43,0.5,0,0,0,0,,49.19,1.07,-4.59,0.87,0,0.36,0.87,-0.39,,,,,
MARALOVER,Maral Overseas Ltd.,,16.14,16.14,22.43,39.9,39.9,2,260.78,33.64,27.34,22.28,16.14,,12.89,10.48,8.54,6.18,40.44,41.02,11.36,1.31,2.1,,1.26,0.62,4.73,0,0,0,0,,549.28,0.51,3.93,0.31,0,2.05,0.31,0.2,,,,,
MARICO,Marico Ltd.,,9.02,9.01,9.77,23.64,23.64,9.25,58.14,11.94,11.19,10.95,9.02,,20.53,19.24,18.84,15.5,38.14,45.98,25.86,0.03,1.67,,2.06,1.26,4.44,102.75,94.84,-2.75,5.16,,"64,770.85",8.64,42.06,8.66,-2.75,21.31,8.66,0.02,,,,,
MARUTI,Maruti Suzuki India Ltd.,,124.68,124.68,216.98,"1,790.93","1,790.93",60,"2,923.70",248.17,155.9,151.73,124.71,,8.48,5.33,5.18,4.26,6.96,8.35,5.13,0.01,1.23,,0.99,0.78,12.07,36.09,20.74,63.91,79.26,,"225,654.68",2.56,30.11,2.59,63.9,4.22,2.59,0.02,,,,,
MASKINVEST,Mask Investments Ltd.,,0.01,0.01,0.01,236.41,236.41,0,0.72,0.29,0.29,0.29,0.01,,40.15,40.15,40.12,1.09,0,0.12,0,0.01,0,,1.47,1.47,0,0,0,0,0,,11.41,51.91,129.27,48.17,0,0.15,48.19,0,,,,,
MASTEK,Mastek Ltd.,,27.83,27.13,29.82,200.46,200.46,19,85.51,35.77,31.63,31.94,25.69,,41.83,36.99,37.34,30.03,12.81,15.16,10.79,0,0.47,,1.73,1.73,0,61.63,53.08,38.37,46.92,,"9,949.64",38.76,92.66,38.81,38.36,16.56,38.81,0.01,,,,,
MATRIMONY,Matrimony.com Ltd.,,24.9,24.87,36.38,135.97,135.97,5,187.64,46.72,35.23,32.91,24.88,,24.9,18.77,17.53,13.26,18.3,21.94,10.97,0,0.89,,2.49,2.49,0,14.04,9.6,85.96,90.4,,"1,306.63",3.04,12.21,3.55,85.95,4.9,3.55,0.04,,,,,
MAWANASUG,Mawana Sugars Ltd.,,8.46,8.46,18.58,105.68,105.68,3,377.88,29.49,19.37,11.46,8.46,,7.8,5.12,3.03,2.23,8,16.29,3.07,1.01,1.19,,1.22,0.16,1.55,35.47,16.14,64.53,83.86,,891.6,0.6,7.73,0.35,64.52,1.26,0.35,0.06,,,,,
MAZDA,Mazda Ltd.,,53.04,53.04,59.08,409.56,409.56,12.1,411.97,76.75,70.72,69.04,53.04,,18.62,17.16,16.75,12.87,12.95,17.01,11.08,0,0.9,,4.47,3.1,2.67,20.73,18.61,79.27,81.39,,192.88,1.17,6.28,1.2,79.26,1.2,1.2,0.11,,,,,
MBAPL,Madhya Bharat Agro Products Ltd.,,26.03,26.03,34.3,93.72,93.72,0.5,224.36,48.77,40.5,37.06,26.03,,21.73,18.05,16.51,11.6,27.77,35.05,12.98,0.8,1.4,,1.51,0.66,3.26,1.92,1.45,98.08,98.55,,"1,042.21",2.12,9.75,1.8,98.07,4.32,1.8,0.06,,,,,
MCLEODRUSS,Mcleod Russel (India) Ltd.,,-13.04,-13.04,-7.65,115.81,142.02,0,106.12,9.02,3.63,-10.92,-13.04,,8.5,3.42,-10.29,-12.28,-11.25,2.33,-3.14,1.55,0.25,,0.1,0.06,1.36,0,0,0,0,,"2,098.74",1.89,22.27,0.21,0,0.2,0.21,-0.57,,,,,
MEGASOFT,Megasoft Ltd.,,0.89,0.89,1.22,21.25,25.01,0,1.91,1.12,0.66,0.84,0.76,,58.38,34.32,43.97,39.56,3.56,2.08,2.17,0.16,0.05,,2.66,2.66,0,0,0,0,0,,369.62,26.2,44.87,26.85,0,2.42,26.86,0.01,,,,,
MENONBE,Menon Bearings Ltd.,,4.38,4.38,5.76,19.98,19.98,2,35.24,7.62,6.24,5.77,4.38,,21.61,17.69,16.37,12.42,21.91,28.42,15.02,0.21,1.24,,2.07,1.54,4.54,45.68,34.72,54.32,65.28,,512.13,2.59,12,2.52,54.31,4.44,2.52,0.05,,,,,
