Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,,,,,
CHALET,Chalet Hotels Ltd.,,-3.42,-3.42,1.9,64.65,64.65,0,23.45,5.75,0.43,-6.62,-3.42,,24.51,1.82,-28.21,-14.58,-5.29,0.24,-1.59,1.73,0.12,,0.93,0.45,0,0,0,0,0,,"8,553.36",17.79,72.57,12.83,0,4.65,12.83,-0.01,,,,,
CHAMBLFERT,Chambal Fertilisers and Chemicals Ltd.,,30.92,30.92,38.13,148.57,148.57,7.5,386.08,56.64,49.44,46.9,30.92,,14.67,12.8,12.14,8.01,20.81,22.33,9.89,0.69,1.38,,1.59,0.77,2.74,29.1,23.6,70.9,76.4,,"21,275.34",1.32,9.02,1.09,70.89,2.84,1.09,0.07,,,,,
CHEMFAB,Chemfab Alkalis Ltd.,,20.42,20.42,36.13,211.07,211.07,1.25,192.16,44.16,28.44,27.73,20.4,,22.98,14.8,14.42,10.61,9.66,13.31,8.19,0.02,0.79,,1.84,1.61,4.62,0,0,0,0,,353.32,1.3,5.66,1.3,0,1.19,1.3,0.08,,,,,
CHENNPETRO,Chennai Petroleum Corporation Ltd.,,90.15,90.15,123.99,187.38,187.38,2,"2,912.86",184.54,150.7,123,90.15,,6.33,5.17,4.22,3.09,48.11,38.07,7.71,3.13,2.76,,0.77,0.12,6.65,0,0,0,0,,"11,112.28",0.26,4.04,0.04,0,0.68,0.04,0.71,,,,,
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,,26.16,26.11,27.32,142.53,142.53,2,122.33,88.72,87.53,35.2,26.13,,72.52,71.55,28.77,21.36,18.33,24.74,2.6,5.91,0.13,,1.52,1.52,0,7.64,7.31,92.36,92.69,,"123,954.58",12.34,17.01,5.87,92.35,5.04,5.87,0.04,,,,,
CIGNITITEC,Cigniti Technologies Ltd.,,14,13.99,18.77,136.62,136.62,2.5,167.14,25.11,20.34,19.24,14,,15.02,12.16,11.51,8.37,10.24,13.56,7.79,0.06,0.99,,4.35,4.35,0,17.84,13.3,82.16,86.7,,"1,122.48",2.39,15.93,2.56,82.15,3.13,2.56,0.03,,,,,
CINELINE,Cineline India Ltd.,,-2.54,-2.54,-0.37,46.58,46.58,0,4.1,5.21,3.12,-3.59,-2.45,,127.05,76.19,-87.53,-59.77,-5.26,2.86,-2.15,1.36,0.04,,11.65,11.65,0,0,0,0,0,,468.06,37.93,29.85,24.51,0,2.16,24.52,-0.02,,,,,
CINEVISTA,Cinevista Ltd.,,-2.87,-2.87,-2.82,4.94,21.28,0,0.18,-0.52,-0.58,-2.58,-2.87,,-294.38,-324.97,"-1,452.57","-1,616.50",-58.08,-1.78,-8.67,0,0.01,,16.53,1.87,0,0,0,0,0,,76.81,75.3,-25.58,75.79,0,2.72,75.87,-0.21,,,,,
CIPLA,Cipla Ltd.,,36.67,36.63,42.36,279.05,279.05,5,162.27,49.99,44.29,43.95,36.66,,30.8,27.29,27.08,22.59,13.13,15.72,11.62,0,0.54,,4.41,3.23,0.88,13.63,11.8,86.37,88.2,,"80,744.55",6.17,20.02,6.28,86.36,3.65,6.28,0.04,,,,,
CLEDUCATE,CL Educate Ltd.,,3.28,3.28,5.93,94.21,94.21,0,69.02,8.14,5.49,4.27,3.28,,11.79,7.95,6.18,4.74,3.47,5.55,2.69,0.06,0.55,,3.28,3.05,0,0,0,0,0,,359.63,1.84,15.59,1.81,0,1.32,1.81,0.03,,,,,
COCHINSHIP,Cochin Shipyard Ltd.,,44.59,44.59,48.85,331.39,331.39,16.75,242.51,68.19,63.92,60.39,44.59,,28.11,26.35,24.9,18.38,13.45,17.13,7.05,0.03,0.41,,1.69,1.6,4.44,34.75,31.72,65.25,68.28,,826.8,0.26,0.92,1.21,65.24,0.89,1.21,0.15,,,,,
COFFEEDAY,Coffee Day Enterprises Ltd.,,-0.17,-0.17,-0.14,145.2,145.2,0,0.65,-0.09,-0.12,-0.17,-0.17,,-13.85,-18.13,-25.47,-25.47,-0.11,-0.08,-0.09,0.16,0,,3.32,3.32,0,0,0,0,0,,"1,633.71",119.16,-860.3,83.98,0,0.38,84.1,0,,,,,
COFORGE,COFORGE LIMITED Ltd.,,106.19,103.75,119.59,362.25,362.25,52,544.04,135.81,122.05,113.55,105.83,,24.96,22.43,20.87,19.45,29.21,28.25,19.88,0.15,1.21,,1.04,1.04,0,48.95,43.32,51.05,56.68,,"27,397.64",8.27,33.12,8.19,51.04,12.29,8.19,0.02,,,,,
COLPAL,Colgate Palmolive (India) Ltd.,,39.65,39.65,46.16,63.78,63.78,40,187.5,58.54,52.02,51.8,39.65,,31.22,27.74,27.62,21.14,62.16,77.76,37.15,0,1.76,,1.37,1.04,3.95,47.92,41.15,52.08,58.85,,"41,171.93",8.07,25.86,8.22,52.07,24.17,8.22,0.03,,,,,
CONCOR,Container Corporation of India Ltd.,,17.44,17.44,26.13,176.88,176.88,9,124.64,32.69,23.99,23.09,17.44,,26.22,19.24,18.52,13.98,9.85,12.8,8.29,0,0.61,,2.62,2.6,0,45.88,30.61,54.12,69.39,,"38,081.48",5.01,19.12,5.39,54.11,3.8,5.39,0.03,,,,,
CORALFINAC,Coral India Finance and Housing Ltd.,,4.31,4.31,4.33,35.24,35.24,0.3,6.82,5.48,5.46,5.45,4.31,,80.32,79.96,79.89,63.17,12.23,14.82,11.38,0,0.19,,19.39,15.94,0.2,11.6,11.53,88.4,88.47,,147.17,5.35,6.66,5.5,88.39,1.06,5.5,0.11,,,,,
CORDSCABLE,Cords Cable Industries Ltd.,,4.91,4.91,10.59,117.63,117.63,0,338.8,30.51,24.84,6.65,4.92,,9,7.33,1.96,1.45,4.18,18.32,1.96,0.54,1.42,,1.53,1.06,5.49,0,0,0,0,,126.79,0.29,3.21,0.15,0,0.43,0.15,0.1,,,,,
COROMANDEL,Coromandel International Ltd.,,48.14,48.03,53.99,214.58,214.58,12,650.37,74.24,68.38,65.81,48.12,,11.41,10.51,10.11,7.39,22.42,29.7,12.59,0,1.89,,1.85,1.03,3.81,24.92,22.22,75.08,77.78,,"21,750.17",1.14,9.98,1.23,75.07,3.72,1.23,0.06,,,,,
COUNCODOS,Country Condos Ltd.,,0.33,0.33,0.35,2.85,2.85,0,2.83,0.41,0.39,0.38,0.33,,14.44,13.66,13.58,11.52,11.44,13.53,8.11,0,0.71,,3.32,0.76,0,0,0,0,0,,39.51,1.8,12.48,2,0,1.99,2,0.06,,,,,
