Company Name,Symbol,Report URL 2022-2023,Report URL 2021-2022,Report URL 2020-2021,Report URL 2019-2020,Report URL 2018-2019
Brigade Enterprises Limited,BRIGADE,https://nsearchives.nseindia.com/annual_reports/AR_22380_BRIGADE_2022_2023_15072023195109_07152023200000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20300_BRIGADE_2021_2022_08072022213829_07082022220004.zip,https://nsearchives.nseindia.com/annual_reports/AR_18428_BRIGADE_2020_2021_16072021200940_16072021210005.zip,https://nsearchives.nseindia.com/annual_reports/AR_17315_BRIGADE_2019_2020_04092020200952.zip,https://nsearchives.nseindia.com/annual_reports/AR_14989_BRIGADE_2018_2019_20072019165257_20072019170005.zip
Britannia Industries Limited,BRITANNIA,https://nsearchives.nseindia.com/annual_reports/AR_22621_BRITANNIA_2022_2023_02082023234341_08032023070003.zip,https://nsearchives.nseindia.com/annual_reports/AR_19989_BRITANNIA_2021_2022_03062022181043_06032022190006.zip,https://nsearchives.nseindia.com/annual_reports/AR_18736_BRITANNIA_2020_2021_15082021000552_15082021070002.zip,https://nsearchives.nseindia.com/annual_reports/AR_16294_BRITANNIA_2019_2020_13062020235643_14062020070002.zip,https://nsearchives.nseindia.com/annual_reports/AR_14880_BRITANNIA_2018_2019_13072019213529_13072019220003.zip
Bharat Road Network Limited,BRNL,https://nsearchives.nseindia.com/annual_reports/AR_23310_BRNL_2022_2023_02092023204850_09022023210004.zip,https://nsearchives.nseindia.com/annual_reports/AR_21253_BRNL_2021_2022_03092022191054_09032022200017.zip,https://nsearchives.nseindia.com/annual_reports/AR_19383_BRNL_2020_2021_04092021183313_09042021190024.zip,https://nsearchives.nseindia.com/annual_reports/AR_17159_BRNL_2019_2020_02092020185811_02092020190002.zip,https://nsearchives.nseindia.com/annual_reports/AR_16256_BRNL_2018_2019_13042020150142_13042020160002.zip
Brooks Laboratories Limited,BROOKS,https://nsearchives.nseindia.com/annual_reports/AR_23099_BROOKS_2022_2023_30082023172553_08302023180000.zip,https://nsearchives.nseindia.com/annual_reports/AR_21560_BROOKS_2021_2022_06092022225551.zip,https://nsearchives.nseindia.com/annual_reports/AR_19591_BROOKS_2020_2021_07092021160204.zip,https://nsearchives.nseindia.com/annual_reports/AR_17284_BROOKS_2019_2020_04092020174231_04092020180007.zip,https://nsearchives.nseindia.com/annual_reports/AR_15500_BROOKS_2018_2019_30082019174249_30082019180014.zip
BSL Limited,BSL,https://nsearchives.nseindia.com/annual_reports/AR_23935_BSL_2022_2023_12102023103447_10122023110000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20923_BSL_2021_2022_29082022145833_08292022150006.zip,https://nsearchives.nseindia.com/annual_reports/AR_18985_BSL_2020_2021_28082021132717_08282021140003.zip,https://nsearchives.nseindia.com/annual_reports/AR_17181_BSL_2019_2020_03092020110659_03092020120003.zip,https://nsearchives.nseindia.com/annual_reports/AR_15174_BSL_2018_2019_09082019161412_09082019170004.zip
BIRLASOFT LIMITED,BSOFT,https://nsearchives.nseindia.com/annual_reports/AR_22175_BSOFT_2022_2023_04072023191655_07042023200003.zip,https://nsearchives.nseindia.com/annual_reports/AR_20305_BSOFT_2021_2022_09072022173049_07092022180003.zip,https://nsearchives.nseindia.com/annual_reports/AR_18253_BSOFT_2020_2021_02072021171341_02072021180007.zip,https://nsearchives.nseindia.com/annual_reports/AR_16601_BSOFT_2019_2020_30072020172911_30072020180002.zip,https://nsearchives.nseindia.com/annual_reports/AR_14845_BSOFT_2018_2019_12072019172626_12072019180004.zip
Burnpur Cement Limited,BURNPUR,https://nsearchives.nseindia.com/annual_reports/AR_22938_BURNPUR_2022_2023_25082023172349_08252023180000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20898_BURNPUR_2021_2022_27082022134041_08272022140003.zip,https://nsearchives.nseindia.com/annual_reports/AR_18945_BURNPUR_2020_2021_27082021124916_08272021193600.zip,https://nsearchives.nseindia.com/annual_reports/AR_17210_BURNPUR_2019_2020_03092020175354_03092020180003.zip,https://nsearchives.nseindia.com/annual_reports/AR_15681_BURNPUR_2018_2019_03092019175917_03092019180026.zip
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,https://nsearchives.nseindia.com/annual_reports/AR_22058_BUTTERFLY_2022_2023_22062023222929_06232023070000.zip,https://nsearchives.nseindia.com/annual_reports/AR_20094_BUTTERFLY_2021_2022_22062022223045_06222022230002.zip,https://nsearchives.nseindia.com/annual_reports/AR_18205_BUTTERFLY_2020_2021_28062021155510_28062021160007.zip,https://nsearchives.nseindia.com/annual_reports/AR_16559_BUTTERFLY_2019_2020_24072020114829_24072020120002.zip,https://nsearchives.nseindia.com/annual_reports/AR_14909_BUTTERFLY_2018_2019_16072019175419_16072019180007.zip
California Software Company Limited,CALSOFT,https://nsearchives.nseindia.com/annual_reports/AR_23707_CALSOFT_2022_2023_06092023220252_09072023070011.zip,https://nsearchives.nseindia.com/annual_reports/AR_21552_CALSOFT_2021_2022_06092022215718_09062022220006.zip,https://nsearchives.nseindia.com/annual_reports/AR_18604_CALSOFT_2020_2021_03082021212105_03082021220004.zip,https://nsearchives.nseindia.com/annual_reports/AR_17659_CALSOFT_2019_2020_08092020194725_08092020200002.zip,https://nsearchives.nseindia.com/annual_reports/AR_15837_CALSOFT_2018_2019_05092019200321_05092019210006.zip
Camlin Fine Sciences Limited,CAMLINFINE,https://nsearchives.nseindia.com/annual_reports/AR_22231_CAMLINFINE_2022_2023_07072023175708_07072023180006.zip,https://nsearchives.nseindia.com/annual_reports/AR_20240_CAMLINFINE_2021_2022_05072022213417_07052022220006.zip,https://nsearchives.nseindia.com/annual_reports/AR_18194_CAMLINFINE_2020_2021_25062021212308_25062021220012.zip,https://nsearchives.nseindia.com/annual_reports/AR_16505_CAMLINFINE_2019_2020_20072020104520_20072020110003.zip,https://nsearchives.nseindia.com/annual_reports/AR_14779_CAMLINFINE_2018_2019_09072019100354_09072019110010.zip
