Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
PARAGMILK,Parag Milk Foods Ltd.,,"2,814.43",0,"2,814.43","2,853.20",35.16,"2,888.36",,"2,378.10",0,0,-70.95,88.25,52.86,54.07,318.85,"2,821.18",67.19,0,67.19,,0,0,-1.3,0,-1.3,68.49,68.49,68.49,,,6.52,6.34,,0,0,,0,0.0,,0,0.0,0
PARASPETRO,Paras Petrofils Ltd.,,0,0,0,0,1.21,1.21,,0,0,0,0,0.04,0,0,0.83,0.87,0.34,0,0.34,,0,0,0,0,0,0.34,0.34,0.34,,,0.01,0.01,,0,0,,0,0.0,,0,0.0,0
PATANJALI,Patanjali Foods Ltd.,,"31,227.54",0,"31,227.54","31,524.66",296.8,"31,821.45",,"25,086.59","3,286.87",794.81,-299.22,277.89,238.85,159.63,"1,097.07","30,642.49","1,178.96",0,"1,178.96",,317.52,0,-25,0,292.52,886.44,886.44,886.44,,,24.54,24.54,,0,0,,0,0.0,,181,0.0,300
PATELENG,Patel Engineering Company Ltd.,,"3,748.86",0,"3,748.86","3,817.13",144.27,"3,961.40",,0,0,"2,792.87",0,324.83,399.73,80.64,158.96,"3,757.02",204.38,-6.08,198.3,,69.82,0,-8.31,-18.78,42.74,155.56,155.56,155.56,,,2.97,2.1,,0,0,,0,0.0,,0,0.0,0
PATINTLOG,Patel Integrated Logistics Ltd.,,278.28,0,278.28,278.28,2.01,280.29,,0,0,249.27,0,12.3,4.77,2.92,6.38,275.64,4.64,0,4.64,,0.29,0.09,-0.45,0,-0.26,4.9,4.9,4.9,,,1.13,0.74,,0,0,,0,0.0,,0.36,0.0,1
PCBL,PCBL Ltd.,,"5,851.67",0,"5,851.67","5,873.89",38.41,"5,912.30",,"4,356.34",94.94,0,-3.89,190.27,53.41,136.6,499.8,"5,327.47",584.83,0,584.83,,148.64,0,-15.83,7.93,140.74,444.09,444.09,444.09,,,11.76,11.76,,0,0,,0,0.0,,207.6,0.0,550
PCJEWELLER,PC Jeweller Ltd.,,"2,359.46",0,"2,359.46","2,359.46",147.85,"2,507.31",,"2,013.01",95,0,-117.15,53.44,491.69,25.85,190.31,"2,752.15",-244.84,0,-244.84,,-56.28,0,150.55,0,94.27,-339.11,-339.11,-339.11,,,-7.29,-7.29,,0,0,,0,0.0,,0,0.0,0
PDMJEPAPER,Pudumjee Paper Products Ltd.,,756.47,0,756.47,758.68,8.49,767.17,,450.54,11.11,-0.27,-6.45,51.65,3.82,11.31,165.78,687.5,79.67,0,79.67,,19.9,0,0.37,0,20.27,59.4,59.4,59.4,,,6.26,6.26,,0,0,,0,0.0,,4.75,0.0,50
PDSL,PDS Ltd.,,459.76,0,459.76,462.86,69.13,531.99,,0,338.3,0,0,50.55,1.24,5.7,42.95,438.74,93.25,0,93.25,,7.11,0,-0.28,0,6.83,86.42,86.42,86.42,,,6.62,6.5,,0,0,,0,0.0,,94.86,0.0,255
PEARLPOLY,Pearl Polymers Ltd.,,17.12,0,17.12,17.12,2.37,19.49,,0.14,10.82,0,1.28,5.09,0.07,0.57,9.56,27.53,-8.03,0,-8.03,,0.12,0,0.02,0,0.14,-8.17,-8.17,-8.17,,,-4.86,-4.86,,0,0.14,,0,0.0,,0,0.0,0
