Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
ELECTHERM,Electrotherm (India) Ltd.,,"3,063.92",0,"3,063.92","3,074.05",6.69,"3,080.74",,"2,285.26",0,0,9.81,144.75,66.07,47.08,499.68,"3,052.65",28.09,-104.75,-76.66,,0,0,0,0,0,-76.66,-76.66,-76.66,,,-60.17,-60.17,,0,0,,0,0.0,,0,0.0,0
ELGIEQUIP,Elgi Equipments Ltd.,,"1,741.55",0,"1,741.55","1,756.64",83.36,"1,840.00",,820.1,152.89,0,14.83,193.49,5.45,38.36,260.9,"1,486.02",353.98,0,353.98,,85.43,0,-3.93,0,81.5,272.48,272.48,272.48,,,8.61,8.61,,0,0,,0,0.0,,36.45,0.0,200
ELGIRUBCO,Elgi Rubber Company Ltd.,,221.54,0,221.54,223.02,24.19,247.22,,118.54,3.63,0,-1.88,23.81,16.69,8.37,56.31,225.46,21.76,-3.68,18.08,,1.7,0,1.53,0.03,3.26,14.82,14.82,14.82,,,2.96,2.96,,18.37,100.17,,0.08,5.12,,0,0.0,0
EMAMILTD,Emami Ltd.,,"2,856.66",0,"2,856.66","2,906.83",48,"2,954.83",,788.14,226.55,0,33.12,296.93,3.73,215.38,784.65,"2,348.50",606.33,0,606.33,,110.77,85.54,7.6,0,32.83,573.5,573.5,573.5,,,13,13,,0,0,,0,0.0,,352.92,0.0,800
EMMBI,Emmbi Industries Ltd.,,435.33,64.24,371.08,371.08,0.12,371.2,,242.05,0,44.07,-6.49,16.93,15.7,9.9,37.05,359.22,11.99,0,11.99,,2.4,0,1.29,0.03,3.72,8.27,8.27,8.27,,,4.67,4.67,,20.03,222.02,,0,5.9,,0,0.0,3
ENDURANCE,Endurance Technologies Ltd.,,"6,674.81",0,"6,674.81","6,767.51",28.2,"6,795.71",,"4,511.09",63.91,0,-42.4,324.18,4.27,240.71,"1,131.49","6,233.25",562.46,-10.29,552.17,,141.4,0,1.86,0,143.25,408.92,408.92,408.92,,,29.07,29.07,,0,0,,0,0.0,,87.91,0.0,70
ENERGYDEV,Energy Development Company Ltd.,,12.82,0,12.82,12.82,1.28,14.1,,0.02,0,0,-0.02,2.21,2.55,2.65,6.17,13.58,0.52,0,0.52,,0,0,-0.13,0,-0.13,0.65,0.65,0.65,,,0.14,0.14,,0,0,,0,0.0,,0,0.0,0
ENGINERSIN,Engineers India Ltd.,,"3,283.76",0,"3,283.76","3,283.76",169.12,"3,452.88",,0,0,"1,827.94",0,936.16,1.44,25.22,222.08,"3,012.84",440.04,0,440.04,,92.23,0,5.54,0.12,97.89,342.15,342.15,342.15,,,6.09,6.09,,0,0,,0,0.0,,168.61,0.0,60
ENIL,Entertainment Network India Ltd.,,418.38,0,418.38,419.52,18.88,438.41,,0,0,0,0,150,15.47,77.34,202.01,444.83,-6.42,-17.78,-24.21,,0,0,-4.73,0,-4.73,-19.48,-19.48,-19.48,,,-4.09,-4.09,,0,0,,0,0.0,,4.77,0.0,10
EPL,EPL Ltd.,,"1,143.20",0,"1,143.20","1,208.60",122.5,"1,331.10",,605.5,0,0,2.1,139.3,22.2,109.2,252.6,"1,130.90",200.2,0,200.2,,32.1,0,-5.9,-31.9,-5.7,205.9,205.9,205.9,,,6.47,6.47,,0,0,,0,0.0,,136.3,0.0,215
EROSMEDIA,Eros International Media Ltd.,,429.58,0,429.58,429.58,21.84,451.42,,0,0,323.95,-0.09,27.52,69.96,2.29,141.1,564.73,-113.31,0,-113.31,,0,0,0,0,0,-113.31,-113.31,-113.31,,,-11.81,-11.81,,0,0,,0,0.0,,0,0.0,0
ESABINDIA,Esab India Ltd.,,"1,085.51",0,"1,085.51","1,090.80",7.8,"1,098.60",,523.73,156.51,0,-8.32,96.92,0.31,11.88,135.28,916.31,182.29,0,182.29,,46.19,0,0.4,0.02,46.61,135.68,135.68,135.68,,,88.16,88.16,,0,0,,0,0.0,,120.07,0.0,780
ESSARSHPNG,Essar Shipping Ltd.,,1.98,0,1.98,3.33,35.53,38.86,,0,0,0.51,0,3.65,94.65,0.22,12.36,111.39,-72.53,"1,738.78","1,666.25",,-26.46,0,0,0,-26.46,"1,692.71","1,692.71","1,692.71",,,-2.23,-2.23,,0,0,,0,0.0,,0,0.0,0
ESSENTIA,Integra Essentia Ltd.,,241.41,0,241.41,241.41,4.09,245.5,,0,235.55,0.06,0,0.5,0.01,0.03,2.18,238.33,7.18,0,7.18,,0.57,0,0,0,0.57,6.6,6.6,6.6,,,0.14,0.35,,0,0,,0,0.0,,0,0.0,0
ESTER,Ester Industries Ltd.,,"1,060.01",0,"1,060.01","1,077.48",17.22,"1,094.69",,666.71,0,161.06,18.11,51.39,30.16,39.02,80.19,"1,046.62",48.07,0,48.07,,11.25,0,-0.49,1.48,12.24,35.83,35.83,161.04,,,19.31,19.31,,0,0,,0,0.0,,15.84,0.0,10
EVEREADY,Eveready Industries India Ltd.,,"1,320.17",0,"1,320.17","1,327.73",1.1,"1,328.83",,584.58,258.29,0,-16.18,146.6,56.64,27.39,244.34,"1,301.67",27.16,0,27.16,,4.03,0,3,0,7.03,20.13,20.13,20.13,,,2.77,2.77,,0,0,,0,0.0,,0,0.0,0
EVERESTIND,Everest Industries Ltd.,,"1,626.14",0,"1,626.14","1,645.03",40.43,"1,685.46",,987.03,5.59,0,-36.27,148.9,31.5,33.78,471.25,"1,641.78",43.68,0,43.68,,20.26,0,0.09,-19.87,0.48,43.2,43.2,43.2,,,27.52,27.43,,0,0,,0,0.0,,9.41,0.0,60
EXCEL,Excel Realty N Infra Ltd.,,6.45,0,6.45,6.45,6.05,12.5,,0,6.35,0,-0.07,0.24,0.03,0.19,3.13,9.87,2.63,0,2.63,,0.09,0.04,0.01,0,0.06,2.57,2.57,2.57,,,0.02,0.02,,0,0,,0,0.0,,0,0.0,0
EXCELINDUS,Excel Industries Ltd.,,"1,083.62",0,"1,083.62","1,089.82",10.56,"1,100.38",,614.55,12.77,0,3.47,104.88,2.17,31.36,226.57,996.43,103.95,0,103.95,,25.64,0,1.02,-1.17,25.5,78.45,78.45,78.45,,,62.41,62.41,,0,0,,0,0.0,,28.28,0.0,225
EXPLEOSOL,Expleo Solutions Ltd.,,903.3,0,903.3,903.3,8.69,911.98,,0,0,7.32,0,448.38,2.26,27.27,253.23,738.45,173.54,0,173.54,,46.16,0,4.12,0,50.28,123.26,123.26,123.26,,,79.42,79.42,,0,0,,0,0.0,,0,0.0,0
FACT,Fertilisers and Chemicals Travancore Ltd.,,"6,198.15",0,"6,198.15","6,198.15",135.58,"6,333.72",,"4,178.98",5.04,0,-448.95,288.19,247.34,30.11,"1,420.03","5,720.74",612.99,0,612.99,,0,0,0,0,0,612.99,612.99,612.99,,,9.47,9.47,,0,0,,1.17,46.62,,0,0.0,0
FCL,Fineotex Chemical Ltd.,,294.56,0,294.56,295.55,10.66,306.21,,178.06,7.01,0,-1.93,15.64,0.57,3.37,35.77,238.5,67.71,0,67.71,,14.75,0,0.88,0.06,15.69,52.02,52.02,52.02,,,4.7,4.7,,0,0,,0,0.0,,4.43,0.0,40
FCSSOFT,FCS Software Solutions Ltd.,,34.95,0,34.95,34.95,2.21,37.15,,0,0,7.42,0,21.44,1.74,4.2,0,34.8,2.35,0.32,2.67,,0.71,0,0.02,0,0.72,1.95,1.95,1.95,,,0.01,0.01,,0,0,,0,0.0,,0,0.0,0
FDC,FDC Ltd.,,"1,771.24",0,"1,771.24","1,777.03",53.91,"1,830.94",,585.36,80.78,0,-11.87,386.99,4.04,38.76,481.2,"1,565.25",265.69,0,265.69,,69,0,-4.28,0,64.72,200.97,200.97,200.97,,,12.09,12.09,,0,0,,0,0.0,,0,0.0,0
FEDDERELEC,Fedders Electric and Engineering Ltd.,,114.54,0,114.54,114.54,18.05,132.59,,102.39,0,0,-5.55,0.25,0.17,1.79,10.68,109.73,22.86,0,22.86,,0,0,0,0,0,22.86,22.86,22.86,,,7.62,7.62,,0,102.39,,0,0.0,,0,0.0,0
FEDERALBNK,Federal Bank Ltd.,,"13,491.84","2,795.57",206.25,309.97,"16,803.63","2,330.00","19,133.63",,"9,571.47","2,173.00",164.61,"2,430.16","4,767.77","1,030.36",3.55,749.89,"1,783.80","16,123.04","3,010.59","3,010.59","4,105.55","7,116.14",,752.65,11.32,426.57,0,378.66,0.0,"5,385.27","7,116.14",,,14.27,14.13,,50,,,,,
FIEMIND,FIEM Industries Ltd.,,"1,834.04",0,"1,834.04","1,847.98",10.8,"1,858.79",,"1,119.46",8.08,131.76,3.89,236.48,7.43,62.96,100.46,"1,670.53",188.26,0,188.26,,58.22,0,-10.42,0.83,48.63,139.63,139.63,139.63,,,106.1,106.1,,0,0,,0,0.0,,26.32,0.0,300
FILATEX,Filatex India Ltd.,,"4,290.33",0,"4,290.33","4,303.87",18.14,"4,322.01",,"3,492.36",36.11,355.4,18.19,92.13,59.38,68.65,77.7,"4,199.93",122.08,0,122.08,,35.56,0,-3.38,0,32.19,89.9,89.9,89.9,,,2.02,2.02,,0,0,,0,0.0,,4.43,0.0,15
FINCABLES,Finolex Cables Ltd.,,"4,410.28",0,"4,410.28","4,481.11",198.13,"4,679.24",,"3,459.32",78.59,0,6.57,162.67,1.24,46.4,278.41,"4,033.20",646.04,0,646.04,,145.04,0,-0.74,0,144.3,501.74,501.74,501.74,,,32.81,32.81,,0,0,,0,0.0,,91.76,0.0,350
FINEORG,Fine Organics Industries Ltd.,,"3,028.88",0,"3,028.88","3,029.15",64.1,"3,093.24",,"1,922.92",0,0,-57.19,100.6,4.47,47.89,281.53,"2,300.22",793.02,0,793.02,,205,0,-2.58,0,202.42,590.6,590.6,590.6,,,192.63,192.63,,0,0,,0,0.0,,27.59,0.0,180
FLEXITUFF,Flexituff Ventures International  Ltd.,,913.56,0.00,913.56,915.30,14.18,929.47,,533.11,22.46,0.00,14.79,175.39,69.80,68.25,189.18,"1,072.97",-143.50,0.00,-143.50,,0.00,0.00,-39.00,0.0,-39.00,-104.50,-104.50,-104.50,,,-41.96,-41.96,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
FSL,Firstsource Solutions Ltd.,,"1,342.48",0,"1,342.48","1,375.70",33.74,"1,409.44",,0,0,0,0,712.13,14.94,88.84,282.48,"1,098.39",311.06,0,311.06,,56.47,0,6.25,0,62.71,248.34,248.34,248.34,,,3.65,3.54,,0,0,,0,0.0,,238.45,0.0,35
GABRIEL,Gabriel India Ltd.,,"2,949.63",0,"2,949.63","2,971.74",17.39,"2,989.13",,"2,251.32",36.76,0,-19.27,183.1,4.59,48.59,306.14,"2,811.22",177.91,0,177.91,,43.55,0,2,0,45.56,132.35,132.35,132.35,,,9.21,9.21,,0,0,,0,0.0,,27.29,0.0,255
GAIL,GAIL India Ltd.,,"143,975.92",51.93,"143,923.99","144,249.68","2,684.70","146,934.38",,"6,860.15","123,975.78",0,"-1,959.99","1,773.77",311.72,"2,488.07","6,901.07","140,350.57","6,583.81",0,"6,583.81",,"1,277.47",0,57.2,-52.37,"1,282.30","5,301.51","5,301.51","5,301.51",,,8.04,8.04,,0,0,,0,0.0,,"3,069.70",0.0,40
GALAXYSURF,Galaxy Surfactants Ltd.,,"3,145.85",0,"3,145.85","3,159.26",-5.98,"3,153.28",,"2,260.60",20.29,0,37.3,140.58,12.32,52.62,341.96,"2,865.67",287.61,0,287.61,,72.01,0,1.59,0,73.6,214.01,214.01,214.01,,,60.36,60.36,,0,0,,0,0.0,,127.64,0.0,220
GALLANTT,Gallantt Ispat Ltd.,,"3,990.46",0,"3,990.46","4,034.58",25.39,"4,059.98",,"3,272.84",12.26,0,39.76,88.18,27.22,100.25,279.57,"3,820.09",239.89,0,239.89,,37.62,0,61.36,0,98.98,140.91,140.91,140.91,,,5.84,5.84,,0,0,,0,0.0,,0,0.0,0
GANDHITUBE,Gandhi Special Tubes Ltd.,,162.72,0.00,162.72,167.47,5.45,172.92,,64.20,0.00,0.00,-1.66,9.86,0.12,3.13,34.40,110.05,62.87,0.00,62.87,,15.19,0.00,0.34,0.0,15.53,47.34,47.34,47.34,,,38.95,38.95,,0.0,0.00,,0.0,0.0,,12.15,0.0,240.00
GANECOS,Ganesha Ecosphere Ltd.,,"1,117.65",0,"1,117.65","1,132.86",16.44,"1,149.30",,734.41,35.59,129.79,-28.25,65.84,14.12,27.02,71.63,"1,050.15",99.14,0,99.14,,25.26,0,0.57,0,25.82,73.32,73.32,73.32,,,33.59,33.59,,0,0,,0,0.0,,4.37,0.0,20
GANESHHOUC,Ganesh Housing Corporation Ltd.,,247.19,0,247.19,251.68,1.23,252.9,,0,0,133,-67.61,17.35,7.63,2.68,12.79,105.83,147.08,0,147.08,,27.25,0,27.82,0,55.07,92.01,92.01,92.01,,,11.03,11.03,,0,0,,0,0.0,,0,0.0,24
GARFIBRES,Garware Technical Fibres Ltd.,,"1,233.98",0,"1,233.98","1,253.62",27.85,"1,281.47",,350.44,40.65,0,9.94,164.6,11.87,22.24,475,"1,074.75",206.72,0,206.72,,50.63,0,-2.98,0,47.65,159.07,159.07,159.07,,,77.17,77.17,,0,0,,0,0.0,,14.43,0.0,35
GEECEE,GeeCee Ventures Ltd.,,37.61,0.00,37.61,37.61,1.06,38.68,,0.00,0.00,29.94,-16.71,4.83,0.21,1.49,6.79,26.55,12.13,0.00,12.13,,2.96,0.00,-0.65,0.0,2.31,9.82,9.82,9.82,,,4.70,4.7,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
GEEKAYWIRE,Geekay Wires Ltd.,,399.33,0,399.33,399.33,21.02,420.35,,314.94,0,10.81,-0.72,14.9,6.43,4.08,32.2,382.64,37.71,-2.98,34.73,,9.2,0,1.1,0,10.3,24.43,24.43,24.43,,,23.37,23.37,,0,0,,0,0.0,,2.61,0.0,27
GENESYS,Genesys International Corporation Ltd.,,179.91,0,179.91,179.91,6.44,186.35,,0,0,49.86,0,53.12,2.67,13.65,18.52,137.83,48.52,0,48.52,,9,0,0.62,0.45,10.06,38.46,38.46,38.46,,,10.96,10.65,,0,0,,0,0.0,,0,0.0,0
GENUSPOWER,Genus Power Infrastructures Ltd.,,804.9,0,804.9,808.39,18.37,826.75,,560.6,0,0,-41.42,123.64,28.18,18.73,86.74,776.48,50.27,0,50.27,,16.9,0,-1.48,-0.14,15.29,34.98,34.98,34.98,,,1.36,1.35,,0,0,,0,0.0,,5.75,0.0,75
GEOJITFSL,Geojit Financial Services Ltd.,,418.96,0,418.96,419.52,8.27,427.79,,0,0,62.56,0,147.44,8.03,27.7,68.71,317.01,110.79,0,110.79,,22.53,0,-1.3,0,21.23,89.56,89.56,89.56,,,3.75,3.75,,0,0,,0,0.0,,71.72,0.0,150
GEPIL,GE Power India Ltd.,,"1,788.15",0,"1,788.15","1,795.81",88.19,"1,884.00",,912.35,0,511.2,-17.35,418.81,60.73,22.53,299.33,"2,207.60",-323.6,-10.69,-334.29,,-0.48,0,109.79,0,109.31,-443.6,-443.6,-443.6,,,-65.99,-65.99,,0,0,,0,0.0,,0,0.0,0
GESHIP,Great Eastern Shipping Company Ltd.,,"4,808.55",0,"4,808.55","4,834.82",261.36,"5,096.18",,0,0,940.45,0,505.34,259.2,450.09,552.51,"2,707.59","2,388.59",0,"2,388.59",,28,0,8.58,0,36.58,"2,352.01","2,352.01","2,352.01",,,164.74,164.71,,0,0,,0,0.0,,359.77,0.0,288
GHCL,Gujarat Heavy Chemicals Ltd.,,"4,545.42",0,"4,545.42","4,545.42",38.63,"4,584.05",,"1,281.91",323.09,0,-12.18,133.7,38.67,94.22,"1,337.47","3,196.88","1,387.17",55.38,"1,442.55",,356.61,0,-5.83,-0.62,350.16,"1,092.39","1,092.39","1,116.71",,,117.45,117.45,,0,0,,0,0.0,,142.68,0.0,175
GICHSGFIN,GIC Housing Finance Ltd.,,"1,104.05",0,"1,104.05","1,114.90",13.98,"1,128.88",,0,0,0.15,0,59.89,702.49,9.94,49.19,839.08,289.8,0,289.8,,34.5,0,42.1,0,76.6,213.2,213.2,213.2,,,39.59,39.59,,0,0,,0,0.0,,24.23,0.0,45
GILLANDERS,Gillanders Arbuthnot & Co Ltd.,,416.68,0,416.68,421.6,11.86,433.46,,86.2,35.91,99.58,19.33,120.54,13.42,9.09,38.61,422.68,10.77,10.65,21.42,,0,0,1.02,0,1.02,20.4,20.4,20.4,,,9.56,9.56,,0,0,,0,0.0,,0,0.0,0
GILLETTE,Gillette India Ltd.,,"2,477.05",0,"2,477.05","2,477.05",22.18,"2,499.23",,678.49,499.87,0,9.77,169.76,7.77,80.69,579.98,"2,026.33",472.9,0,472.9,,128,0,-7.25,-3.53,117.22,355.68,355.68,355.68,,,109.15,109.15,,0,0,,0,0.0,,231.36,0.0,850
GINNIFILA,Ginni Filaments Ltd.,,941.59,0,941.59,953.17,3.65,956.82,,629.8,0,0,8.18,73.56,22.72,29.14,219.15,982.55,-25.73,0,-25.73,,0,0,-9.9,-1.5,-11.4,-14.33,-14.33,-14.33,,,-1.67,-1.67,,0,0,,0,0.0,,0,0.0,0
GIPCL,Gujarat Industries Power Co. Ltd.,,"1,348.57",0,"1,348.57","1,355.56",48.12,"1,403.69",,650.88,0,156.14,0,103.37,37.54,164.98,37.34,"1,150.26",253.43,0,253.43,,43.75,0,20.99,0,64.74,188.69,188.69,188.69,,,12.48,12.48,,0,0,,0,0.0,,37.81,0.0,38
GKWLIMITED,GKW Ltd.,,20.33,0,20.33,20.33,0.36,20.69,,0,0,0,0,2.35,0.01,1,4.42,7.77,12.92,0,12.92,,4.09,0,0.06,0,4.14,8.77,8.77,8.77,,,14.71,14.71,,0,0,,0,0.0,,0,0.0,0
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd.,,"3,181.40",0,"3,181.40","3,216.34",101.51,"3,317.86",,394.35,788.43,73.85,67.25,594.99,1.81,65.77,498.06,"2,484.50",833.36,-0.97,832.39,,246.05,0,-18.37,0,227.69,604.71,604.71,607.75,,,35.9,35.88,,0,0,,0,0.0,,"1,524.66",0.0,320
GLFL,Gujarat Lease Financing Ltd.,,0,0,0,0,0.54,0.54,,0,0,0,0,0.09,0,0.01,0.25,0.35,0.19,0,0.19,,0,0,0,0,0,0.19,0.19,0.19,,,0.07,0.07,,0,0,,0,0.0,,0,0.0,0
GLOBALVECT,Global Vectra Helicorp Ltd.,,410.83,0,410.83,411.12,36.48,447.6,,0,0,0,0,99.78,20.9,75.41,122.66,466.01,-18.41,0,-18.41,,0,0,-1.79,0,-1.79,-16.63,-16.63,-16.63,,,-11.88,-11.88,,0,0,,0,0.0,,0,0.0,0
GLOBUSSPR,Globus Spirits Ltd.,,"2,821.34",713.41,"2,107.93","2,109.06",7.83,"2,116.89",,"1,265.56",0,0,-24.23,65.13,17.01,56.33,557.02,"1,936.82",180.07,0,180.07,,36.39,0,21.48,0,57.87,122.2,122.2,122.2,,,42.43,42.39,,0,0,,0,0.0,,8.64,0.0,60
GMBREW,GM Breweries Ltd.,,"2,325.74","1,732.23",593.51,593.51,20.47,613.97,,435.04,0,0,-1.03,10.17,0.04,5.81,32.33,482.36,131.62,0,131.62,,31.35,0,-0.53,0.93,31.75,99.86,99.86,99.86,,,54.61,54.61,,0,0,,0,0.0,,9.14,0.0,60
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,,"3,877.28",0,"3,877.28","3,877.28",16.57,"3,893.85",,0,0,0,-10.29,158.45,2.28,81.16,"2,005.07","2,236.68","1,657.17",0,"1,657.17",,432.49,0,-4.43,16.64,444.7,"1,212.48","1,212.48","1,212.48",,,38.13,38.13,,0,0,,0,0.0,,136.74,0.0,573
GMMPFAUDLR,GMM Pfaudler Ltd.,,"1,038.40",0,"1,038.40","1,074.79",23.33,"1,098.12",,537.13,0,78.54,-8.83,96.42,27.12,36.38,200.29,967.05,131.07,0,131.07,,31.47,0,1.34,-0.68,32.13,98.94,98.94,98.94,,,22.28,22.27,,0,0,,0,0.0,,8.89,0.0,100
GNFC,Gujarat Narmada Valley Fert & Chem. Ltd.,,"10,207.23",0,"10,207.23","10,226.93",361.23,"10,588.16",,"6,988.63",60.69,19.27,-85.42,605.62,5.26,302.94,759.62,"8,656.61","1,931.55",0,"1,931.55",,541.29,0,-52.72,-21,467.57,"1,463.98","1,463.98","1,463.98",,,94.2,94.2,,0,0,,0,0.0,,155.42,0.0,300
GOACARBON,Goa Carbon Ltd.,,"1,363.86",0,"1,363.86","1,364.36",12.59,"1,376.95",,"1,178.07",0,0,-44.71,22.79,46.23,2.18,64.16,"1,268.72",108.23,0,108.23,,28.19,0,-0.71,0,27.48,80.75,80.75,80.75,,,88.24,88.24,,0,0,,0,0.0,,9.15,0.0,175
GODFRYPHLP,Godfrey Phillips India Ltd.,,"4,227.54",697.33,"3,530.20","3,560.32",167.63,"3,727.95",,917.42,914.89,0.00,-51.15,284.45,28.89,150.65,693.19,"2,938.35",789.61,0.00,789.61,,184.40,0.00,-3.17,0.0,181.23,608.38,608.38,608.38,,,117.01,117.01,,0.0,0.00,,0.0,0.0,,145.58,0.0,"2,200.00"
GODREJPROP,Godrej Properties Ltd.,,"1,039.72",0,"1,039.72","1,155.05",945,"2,100.05",,0,0,"4,169.76","-3,682.94",178.18,233.13,18.96,352.42,"1,269.51",830.54,0,830.54,,183.35,0,-8.48,0,174.87,655.67,655.67,655.67,,,23.58,23.58,,0,0,,0,0.0,,0,0.0,0
GOKEX,Gokaldas Exports Ltd.,,"2,064.53",0,"2,064.53","2,221.09",30.57,"2,251.65",,"1,052.56",0.85,11.86,123.24,619.02,25.35,70.75,144.23,"2,047.88",203.77,6.05,209.82,,48.31,0,-15.28,-1.6,31.42,178.4,178.4,178.4,,,29.5,28.05,,0,0,,0,0.0,,0,0.0,20
GOKULAGRO,Gokul Agro Resources Ltd.,,"10,057.83",0,"10,057.83","10,082.82",15.09,"10,097.91",,"8,828.22",724.98,0,12.37,35.29,86.42,28.49,240.74,"9,956.50",141.41,0,141.41,,35.67,0,0.87,0.17,36.71,104.7,104.7,104.7,,,7.26,7.26,,0,0,,0,0.0,,0,0.0,0
GOLDTECH,AION-TECH SOLUTIONS Ltd.,,74.86,0,74.86,74.86,1.14,76,,0,0,48.96,0,17.79,0.34,0.75,4.35,72.19,3.81,0,3.81,,1.24,0,-0.08,0,1.16,2.65,2.65,2.65,,,0.77,0.77,,0,0,,0,0.0,,0,0.0,0
GOODLUCK,Good Luck India Ltd.,,"3,047.98",0,"3,047.98","3,072.01",13.89,"3,085.89",,"2,321.58",0,0,-78.86,125.89,65.57,32.59,499.01,"2,965.78",120.12,0,120.12,,31.14,0,-0.34,2.41,33.21,86.9,86.9,86.9,,,32.97,32.97,,14.77,"2,306.81",,0.09,61.83,,10.65,0.0,225
GPPL,Gujarat Pipavav Port Ltd.,,846.25,0,846.25,916.95,51,967.95,,0,0,192.2,0,74.58,7.96,116.15,148.03,538.92,429.03,-37.17,391.87,,104.7,0,-4.62,0,100.09,291.78,291.78,291.78,,,6.04,6.04,,0,0,,0,0.0,,246.56,0.0,61
GPTINFRA,GPT Infraprojects Ltd.,,788.67,0,788.67,794.75,2.43,797.18,,65.51,0,503.44,-8.79,39.68,36.79,13.07,100.95,750.67,46.51,0,46.51,,12.55,0,-0.6,0,11.95,34.57,34.57,34.57,,,5.94,5.94,,0,0,,0,0.0,,10.18,0.0,25
GRANULES,Granules India Ltd.,,"3,915.62",0,"3,915.62","3,931.20",9.93,"3,941.13",,"2,099.93",0,5.46,61.52,330.07,38.67,145.56,595.98,"3,277.19",663.94,0,663.94,,170.21,0,-5.05,0,165.16,498.79,498.79,498.79,,,20.32,20.3,,0,0,,0,0.0,,18.62,0.0,150
GRAPHITE,Graphite India Ltd.,,"2,890.53",0,"2,890.53","2,913.48",133.09,"3,046.57",,"1,787.18",17.36,0,-580.92,226.31,8.88,45.63,"1,066.07","2,570.51",476.06,0,476.06,,129.89,0,-3.84,0,126.05,350.01,350.01,350.01,,,17.91,17.91,,0,0,,0,0.0,,195.38,0.0,425
GRASIM,Grasim Industries Ltd.,,"26,576.07",0,"26,576.07","26,839.71","1,018.34","27,858.05",,"17,440.08",466.22,0,-261.91,"2,023.49",367.67,"1,097.29","3,991.94","25,124.78","2,733.27",-88.03,"2,645.24",,433.71,0,87.8,0,521.51,"2,123.73","2,123.73","2,123.73",,,32.34,32.31,,0,0,,0,0.0,,657.65,0.0,500
GRAVITA,Gravita India Ltd.,,"2,511.29",0,"2,511.29","2,524.39",59.72,"2,584.11",,"1,786.84",503.74,0,-43.53,94.44,32.21,10.69,83.47,"2,467.86",116.25,0,116.25,,23.8,0,-8.7,0,15.1,101.15,101.15,101.15,,,14.65,14.65,,0,0,,0,0.0,,0,0.0,218
GREENPOWER,Orient Green Power Company Ltd.,,23.43,0,23.43,23.43,14,37.43,,0,0,22.97,0,2.42,3.74,0.03,5.44,34.6,2.83,0,2.83,,0,0,0,0,0,2.83,2.83,3.14,,,0.04,0.04,,0,0,,0,0.0,,0,0.0,0
GRINDWELL,Grindwell Norton Ltd.,,"2,352.59",0,"2,352.59","2,368.73",51.32,"2,420.05",,844.44,267.08,0,-25.22,273.89,6.66,54.86,529.16,"1,950.87",469.18,0,469.18,,119.9,0,-1.41,0,118.49,350.69,350.69,350.69,,,31.67,31.67,,0,0,,0,0.0,,132.86,0.0,290
GROBTEA,The Grob Tea Company Ltd.,,102.02,0,102.02,102.26,3.42,105.68,,2.35,6.06,0,-3.72,59.62,0.44,3.2,34.01,101.97,3.71,0,3.71,,0.14,0,2.96,0,3.11,0.6,0.6,0.6,,,5.2,5.2,,0,0,,0,0.0,,0.23,0.0,20
GRPLTD,GRP Ltd.,,474.46,28.8,445.66,450.81,5.31,456.12,,206.65,0,91.84,3.62,52.75,6.46,12.38,70.86,444.55,11.57,0,11.57,,3.43,0,-1.98,-0.12,1.34,10.23,10.23,10.23,,,76.71,76.71,,0,0,,0,0.0,,1.2,0.0,170
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,,"2,547.84",0,"2,547.84","2,561.15",201.84,"2,762.98",,"1,495.24",112.1,375.01,4.73,316.91,6.48,39.17,108.13,"2,457.76",305.22,0,305.22,,73.54,0,3.55,0,77.09,228.12,228.12,228.12,,,19.91,19.91,,0,0,,0,0.0,,72.74,0.0,62
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,,"11,284.60",0,"11,284.60","11,298.03",146.49,"11,444.51",,"5,851.34","1,020.12",0,5.41,656.46,14.89,181.51,"2,147.24","9,876.98","1,567.54",0,"1,567.54",,410.34,0,-115.68,-20.2,274.46,"1,293.08","1,293.08","1,293.08",,,32.45,32.45,,0,0,,0,0.0,,99.62,0.0,500
